Nation,Sail,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Boat,Total,Pos
USA,9002,Mike Holt,,,1,1,3,[8/DNF],1,1,1,IO Integration,8,1
USA,9009,Bruce Edwards,,,[3],2,1,1,2,2,2,Woo Girl,10,2
USA,7875,Jeff Miller,,,2,3,2,2,[4],4,4,name here,17,3
USA,8841,Holt Condon,,,[4],4,4,3,3,3,3,Krywood,20,4
USA,8937,Tim Murphy,,,5,5,[6],4,5,5,6,505,30,5
USA,7877,Steve Anderes,,,6,6,5,5,6,[7],5,Alien,33,6
USA,7069,Christopher O'Leary,,,[7],7,7,6,7,6,7,Tiburon,40,7
