Nation,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Points,Place
USA,9007,Tyler Moore,Geoff Ewenson,,1,1,1,1,1,1,1,[3],2,9,1
USA,8830,Ramsay Key,Andrew Buttner,,6,[8],3,2,2,3,4,1,1,22,2
USA,8930,Ted Ferrarone,Jesse Falsone,,7,3,7,4,3,2,2,4,[8],32,3
USA,8722,Macy Nelson,Parry Barclay,,[9],6,6,3,4,5,6,2,3,35,4
USA,8012,Henry Amthor,Dustin Romey,,3,11,[13],5,5,4,7,5,5,45,5
USA,8919,Parker Shinn,Simon Gerson,,[10],2,4,6,9,9,5,6,7,48,6
USA,8838,Clinton Hayes,John Storck III,,5,7,2,8,6,7,3,[DNC],DNC,55,7
CAN,8194,Thomas Kivney,Gordon Russell,,[DNS],12,8,9,7,10,10,7,6,69,8
USA,8013,Jonathan Wenderoth,Francis Murphy,,2,9,5,11,12,12,11,9,[DNC],71,9
USA,7879,Geoff Woolley,Zack Marks,,[DNC],DNC,DNC,7,8,6,8,DNF,4,84,10
USA,8952,Charles Smith,Jay Smith,,8,13,14,12,11,8,9,[DNC],DNC,92,11
USA,8018,Duane Delfosse,Sol Marini,,[DNS],10,12,10,10,11,12,DNF,DNC,99,12
USA,9005,Whit Duncan,Chris Burd,,[DNS],4,9,DNF,DNS,DNS,DNS,8,DNF,107,13
USA,8439,Michael Komar,Russell Miller,,4,14,11,[DNF],DNS,DNC,DNS,DNF,DNS,114,14
USA,8850,Douglas Watson,Gabriel Watson,,[DNS],5,10,DNF,DNS,DNS,DNS,DNC,DNC,117,15
USA,8641,Nicholas Burke,Nat Taylor,,[DNC],DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,136,16
