Sail Number,Helm,Crew,Club,R1,R2,R3,R4,Total,Netto,Place
GER 8519,Thure Gnadeberg,Aron Tellen,BSV,1.0,3.0,1.0,(6.0),11.0,5.0,1
GER 9182,Alexander Holzapfel,Stefan Worm,PSVK,2.0,2.0,3.0,(21.0) UFD,28.0,7.0,2
POL 9118,Jakub Pawluk,Marcin Józefowski,Legia,5.0,1.0,(6.0),4.0,16.0,10.0,3
GER 9148,Jan Stremlow,Holger Jess,RSVM,4.0,4.0,(10.0),3.0,21.0,11.0,4
GER 9020,Jörn Wille,Martin Bergmann,MSC,(11.0),6.0,9.0,2.0,28.0,17.0,5
GER 9135,Jens Biederer,Thomas Wasilewski,HSC,3.0,5.0,(11.0),9.0,28.0,17.0,6
GER 9113,Joseph Schütte,Karsten Stümpel,SLRV,10.0,(13.0),7.0,1.0,31.0,18.0,7
DEN 9128,Thomas Hernø,Henrik Buhl,Hellerup Sejlklub,(13.0),12.0,4.0,5.0,34.0,21.0,8
GER 9054,Anika Kébreau,Raik Wollenbecker,YCBTF,6.0,(10.0),8.0,7.0,31.0,21.0,9
GER 9141,Konrad Otto,Martin Lietz,FSV03E.V.,9.0,(14.0),5.0,11.0,39.0,25.0,10
POL 8802,Dominik Ostrowski,Jan Siekierzynski,SWOS Warszawa,12.0,(15.0),2.0,13.0,42.0,27.0,11
GER 9130,Andreas Jungclaus,Johannes Kindermann,HSC,(17.0),7.0,14.0,8.0,46.0,29.0,12
GER 8317,Christina Burger,Finn Böger,ZSK,7.0,11.0,(16.0),14.0,48.0,32.0,13
GER 8875,Torsten Simon,Alexander Neddermeier,SCA,14.0,8.0,12.0,(21.0) UFD,55.0,34.0,14
GER 8806,Anna Hauschild,Katharina Menge,SCS,8.0,(17.0),15.0,12.0,52.0,35.0,15
POL 8437,Szymon Kabała,Kacper Kaczmarek,AZS P,16.0,9.0,(20.0),10.0,55.0,35.0,16
POL 8493,Mieczysław Szwed,Pawel Różycki,Centrum Zeglarskie Szczecin,15.0,(16.0),13.0,16.0,60.0,44.0,17
GER 9000,Thorsten Pösch,Robert Müller,SCSZ,(19.0),18.0,18.0,15.0,70.0,51.0,18
GER 9123,Enno Wilts,Oliver Schürmann,OSG,18.0,(19.0),17.0,17.0,71.0,52.0,19
GER 8721,Martin Bernauer,Kerstin Bernauer,CKA,20.0,20.0,19.0,(21.0) DNF,80.0,59.0,20
