Nr na żaglu,Team,,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R,N,Nr
DEN 9181,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup,1,2,1,1,1,2,2,1,(8),2,4,25,17,1
FRA 9175,Philippe Boite,Fountaine Mathieu,CVSQ,7,3,2,2,4,(10),1,2,4,6,5,46,36,2
GER 9152,Wolfgang Dr Hunger,Julien Kleiner,PYC,4,1,(16),5,3,4,4,10,2,3,2,54,38,3
GER 9122,Benedikt Northoff,Holger Jess,BYC,3,5,(19),8,10,5,10,8,13,1,1,83,64,4
GER 9070,Stefan Köchlin,Andreas Achterberg,SVS,6,4,11,7,12,6,6,(16),5,5,3,81,65,5
GER 9112,Morten Bogacki,Lars Dehne,DYC,11,7,3,6,5,(13),8,4,6,8,10,81,68,6
SUI 9147,Caroline Jacot,René Betschen,CVN,8,11,10,4,6,17,3,5,11,11,(39) DNF,125,86,7
GER 9043,Nicola Birkner,Angela Stenger,VSAW,15,(24),13,3,2,1,7,11,9,19,13,117,93,8
GER 9127,Ulf Pleßmann,Hans-Heinrich Rix,AYC,19,17,(23),13,8,3,5,9,1,14,6,118,95,9
GER 9182,Alexander Holzapfel,Martin Schöler,PSVK,2,8,5,19,13,14,13,3,7,(25),19,128,103,10
GER 9146,Andy Smith,Johannes Tellen,NCSC,10,12,8,23,7,8,12,14,(39) DNF,9,7,149,110,11
GER 9169,Tim Böger,Markus Schöner,HSC,5,9,7,14,14,(19),19,15,19,4,14,139,120,12
FRA 9076,Xavier Broise,Nicolas Des Jamonieres,Snph,12,18,18,10,(20),9,17,6,14,16,11,151,131,13
GER 9185,Stefan Böhm,Gerald Roos,SCV,13,15,12,22,21,(27),11,7,26,7,8,169,142,14
GER 9101,Timon Treichel,Morten Roos,DYC,9,6,25,17,22,20,9,18,(27),12,9,174,147,15
GBR 9177,Thomas Gillard,Harry Briddon,SVSC,17,13,6,21,11,11,16,(23),23,18,17,176,153,16
GER 9040,Nørbert Dasenbrook,Sven Meier,SKBUe,16,14,(26),9,9,21,22,19,21,10,12,179,153,17
GER 9149,Anton Meyer,Rolf Meyer,SCED,14,10,4,11,19,25,25,21,(28),21,21,199,171,18
GER 8929,Kai Bertallot,Viktoria Warminski,FSC,23,20,14,16,15,22,18,13,(30),15,20,206,176,19
GER 9020,Jörn Wille,Martin Bergmann,MSC,24,19,17,12,24,7,(32),26,18,13,18,210,178,20
GER 9171,Stefan Giesler,Frank Böhm,VSAW,20,16,24,(25),18,18,23,20,17,24,15,220,195,21
SWE 8586,Galen Mack,Wilhelm Johannisson,KSSS,(39) DNC,29,21,31,17,16,21,12,12,23,22,243,204,22
GER 8874,Henning Steffen,Tilman Giesen,SLRV,25,28,20,15,16,15,(31),22,22,27,25,246,215,23
GER 9035,Ronald Roos,Jonas Royla,SVWU,21,25,9,(39) DNC,39 DNC,39 DNC,14,27,16,17,16,262,223,24
GER 8975,Maike Roos,Maren Roos,SVWU,29,(33),27,24,25,12,15,30,10,29,27,261,228,25
AUS 9028,Earle Alexander,Johannes Kindermann,Darling Point SS,26,22,(32),28,26,26,20,32,3,22,26,263,231,26
SWE 8694,Tomas Grundel,Johan Strömdahl,KSSS,18,21,15,30,28,28,26,25,15,31,(32),269,237,27
GER 9135,Jens Biederer,Thomas Wasilewski,HSC,30,27,(35),26,23,24,28,24,20,26,23,286,251,28
GBR 9136,Stewart Mears,Richard Tucker,Royal Corinthian,22,(39) DNC,28,20,30,35,29,17,36,20,28,304,265,29
GER 9054,Anika Kébreau,Raik Wollenbecker,YCBTF,27,23,22,28 DPI,28 DPI,33 DPI,24,28,(35),28,29,305,270,30
FRA 9086,Elisabeth Neidhart,David de Monteil,YCIF,28,26,31,18,31,23,27,(35),29,30,31,309,274,31
GER 9148,Jan Stremlow,Finn Böger,RSVM,34,34,29,32,34,30,33,29,31,(35),24,345,310,32
GER 8806,Anna Hauschild,Katharina Menge,SCS,33,(36),34,34,29,29,35,31,33,32,30,356,320,33
GER 8988,Georg Mittermayer,Dirk Barteldt,SCLL,31,31,(37),29,33,31,34,33,32,33,33,357,320,34
GER 8932,Christian Henge,Katja Henge,WSCW,35,32,30,35,32,33,37,(38),24,34,36,366,328,35
GER 8843,Olivier Kraft,Frank Heimburger,SSCM,36,35,33,33,36,(39) DNC,30,34,25,39 DNC,39 DNC,379,340,36
GER 9123,Enno Wilts,Martin Bernauer,OSG,32,30,36,(37) DPI,36 DPI,35 DPI,36,36,37,36,34,385,348,37
GER 8370,Felix Graff,Christian Koop,ZSK,(39) DNC,39 DNC,39 DNC,37,37,36,38,37,34,37,35,408,369,38
