,Boot,Steuermann,Vorschoter,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Brutto,Punkte,Platz
GER,9146,Julian Stückl,Johannes Tellen,DTYC,1,1,1,1,[DNC 11],15,4,1
GER,8519,Thure Gnadeberg,Aron Tellen,BSV,2,[DNC 11],3,2,2,20,9,2
GER,9043,Nicola Birkner,Angela Stenger,SVaW,3,3,[6],4,1,11,11,3
GER,8903,Steve Kwee,Thorsten Spötter,HSC,[7],4,4,3,3,25,14,4
GER,8849,Henrik Schade,Fabian Vergil,WVW,4,5,2,[7],4,26,15,5
GER,8750,Peter Kruse,Arne Wittemer,SCH,6,2,7,9,[DNC 11],35,24,6
GER,9113,Joseph Schütte,Karsten Stümpel,,5,[DNC 11],10,5,DNC 11,42,31,7
GER,8932,Christian Henge,Katja Henge,OSG,[DNC 11],DNC 11,8,8,5,43,32,8
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,[DNF 11],DNC 11,5,6,DNC 11,44,33,9
GER,8469,Hansjörg Ehlers,Benjamin Thomas,ZSK,[DNC 11],DNC 11,9,10,6,47,36,10
