Country,SAIL No.,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Position
SWE,7453,Krister Bergström,Per-Anders Hallberg,,2,4,2,3,1,1,"19,7","11,7",1
USA,7093,Gary Knapp,Cameron Lewis,,3,5,1,1,5,3,"31,4","21,4",2
SWE,7188,Stefan Eriksson,Kjell Lidman,,1,1,9,6,4,4,"42,7","27,7",3
SWE,7145,Staffan Eklund,Anders Eklund,,5,12,4,2,2,7,55,37,4
SWE,7351,Karl-Erik Nilsson,Anders Avén,,10,6,5,5,3,2,"56,4","40,4",5
DEN,7455,Jørgen Schönherr,Anders Kæmpe,,4,3,3,4,7,9,"55,4","40,4",6
SWE,7296,Ebbe Rosén,Olle Wenrup,,8,2,6,RTD,9,5,"99,7","53,7",7
SWE,7209,Karl-Otto Strömberg,Hubert Carlander,,11,7,7,9,6,6,"81,4","56,4",8
SWE,7343,Thomas Widstrand,Jan Calvert,,7,DSQ,8,7,8,8,114,68,9
DEN,7140,Henrik Andersen,Søren Andersen,,6,8,DSQ,14,11,10,"124,7","78,7",10
DEN,7162,Michael Staal,Erik Lund,,17,14,10,8,10,13,"108,9",85,11
SWE,6718,Petter Nilsson,Claes Gustafsson,,9,11,13,11,14,16,110,88,12
SWE,7452,Per Lindquist,Lars Stugemo,,13,10,17,13,20,14,123,97,13
SWE,7297,Per Oskarsson,Lars Edström,,21,DSQ,11,10,13,17,"148,6",102,14
SWE,7165,Arne Lindberg,Niklas Philipson,,15,16,12,12,18,RTD,149,103,15
SWE,7352,Joakim Peterson,Bengt Zachrisson,,25,17,14,16,16,12,136,105,16
SWE,7181,Gunilla Berg,Erik Kallin,,20,21,19,15,15,11,137,110,17
SWE,6693,Mikael Widmark,Annelie Rydquist,,14,22,16,22,21,18,149,121,19
SWE,6115,Lars Lexell,Hans Malmquist,,22,19,23,20,23,DNS,183,137,22
SWE,6143,Jan Ringdahl,Bo Ringdahl,,29,13,20,21,DNS,DNS,"199,6",153,27
SWE,6680,Björck,Björck,,28,15,DSQ,DSQ,27,20,206,160,28
