Naion,Sail No,Helm's Name,Crew's Name (if applicable),Sailing Club,R1,R2,R3,R4,R5,R6,Total to withdraw:,Nett,Rank
GBR,9131,Norman Byrd,Nick Beloe,,(6.0),2,1,6,1,1,17,11,1st
RSA,8905,Graeme Willcox,James Spikesley,Netley Sailing Club,1,3,3,2,2,(4.0),15,11,2nd
GBR,9136,Stewart Mears,Richard Tucker,Burnham,3,1,2,1,5,(12.0 BFD),24,12,3rd
GBR,9156,Mike Pickering,Mike Priddle,Restronguet,2,4,(12.0 DNC),5,4,5,32,20,4th
GBR,9125,Roger Deane,Richard Nurse,Rock SC,5,(12.0 DNC),12.0 DNC,4,3,3,39,27,5th
GBR,9158,Ben Iliffe,Paddy Lewis,Datchet Water Sailing Club,7,(12.0 DNC),12.0 DNC,3,6,2,42,30,6th
GBR,8881,Neil Rabbitts,Jack Vincent,Burton SC,8,5,(12.0 DNC),7,7,6,45,33,7th
GBR,9088,Andy Smith,Roger Gilbert,Notts County,4,(12.0 DNF),12.0 DNC,12.0 DNC,12.0 DNC,12.0 DNC,64,52,8th
GBR,8511,Neil Smith,L. Bratley,Manor Park,(12.0 DNC),12.0 DNC,12.0 DNC,12.0 DNC,12.0 DNC,12.0 DNC,72,60,9th
GBR,800*,Martin Spence,Ollie Hooper,,(12.0 DNC),12.0 DNC,12.0 DNC,12.0 DNC,12.0 DNC,12.0 DNC,72,60,9th
GBR,9126,Stuart Turnbull,Andy George,Burton SC,(12.0 DNC),12.0 DNC,12.0 DNC,12.0 DNC,12.0 DNC,12.0 DNC,72,60,9th
