Nation,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,Pts,Pos
RSA,7286,Thomas Funke,Peter Funke,TYC,1,1,2,1,1,1,3,1,6,1st
RSA,8520,Rudolph Holm,Dietmar Holm,PSC,2,2,1,2,2,2,1,2,10,2nd
RSA,8789,Tony Murray,Eddie Forster,PSC,3,5,3,3,3,4,2,3,17,3rd
RSA,8584,Warwick Ham,Peter Roos,PSC,4,3,5,4,4,3,4,DNS,22,4th
RSA,7493,Mark Biagio,Alan Wynne,PSC,5,4,4,5,5,5,5,4,27,5th
