,Sail No,Helm,Crew,Club,R1,R2,R3,R4,Pts,Pos
RSA,8406,Paul Willcox,Alan Haylett,VLC,1,2,1,1,3,1st
RSA,8520,Rudolph Holm,Dietmar Holm,PSC,2,1,3,2,5,2nd
RSA,8707,Albrecht Holm,Warwick Ham,PYC,4,3,4,4,11,3rd
RSA,8584,Hans Rogotzki,Peter Roos,PSC,3,6,6,3,12,4th
RSA,8789,Tony Murray,Dirk Rother,PSC,DNF,5,2,DSQ,14,5th
RSA,7493,Mark Biagio,Suellen Biagio,PSC,5,4,5,5,14,6th
