Country,Sail NO,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Points,Place
AUS,8801,Peter Chappell,Sam Gill,The Fish,,,,,,1
AUS,8855,Mark Stowell,Scott Bailey,Blue Lightning,,,,,,2
AUS,,Mike Navarro,Simon Wilder,Lock Stock and Two Smoking Barrels,,,1,1,,3
AUS,,Elise Rechichi,Tessa Parkinson,,,,,,,
AUS,,Scott Olsen,,,,,,,,
AUS,,Julie Meehan,,,,,,,,
AUS,,Matt Totterdell,,,,,,,,
AUS,,Luke Payne,Ben Davis,Valkyrie,,,,,,
AUS,8799,Renee de Voogd,,,,,,,,
AUS,,,,,,,,,,
AUS,,,,,,,,,,
AUS,,,,,,,,,,
AUS,,,,,,,,,,
AUS,,,,,,,,,,
AUS,,,,,,,,,,
AUS,,,,,,,,,,
AUS,,,,,,,,,,
AUS,,,,,,,,,,
AUS,,,,,,,,,,
