Nation,Sail Number,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Points,Position
GBR,8736,Ian Pinnell,Nick Powell,,1,6,1,1,3,1
FRA,8702,Philippe Boite,Jean-Luc Muzellec,,2,9,2,2,6,2
FRA,8709,Alain Boite,Fabrice Toupet,,3,3,5,3,9,3
FRA,8564,Laurent Hay,Franck Tudal,,4,4,3,DNF,11,4
FRA,8687,Francois Fischer,Jerome Delvaux,,7,1,8,5,13,5
FRA,8541,Francis Doerenbecher,Aubin Doerenbecher,,5,7,4,DNF,16,6
FRA,8353,Robert Fossard,Ludovic Pretot,,12,5,6,8,19,7
FRA,8082,Benoît Valleteau de Moulliac,,,14,2,10,10,22,8
FRA,8372,Gilbert Vinches,Regis Viateur,,6,18,14,4,24,9
FRA,8431,Emmanuel Boyer,Boyer,,9,11,16,6,26,10
FRA,8677,Michel Christ,Philippe Claude,,8,13,20,7,28,11
FRA,8449,Philiippe Lucienne,Bernard Bonnet,,11,10,13,9,30,12
FRA,8400,Marc Jouany,Ivan Doerenbecher,,10,16,9,DNC,35,13
FRA,8716,Christian Silvestre,Pierre Yves Partant,,16,14,15,DNC,45,14
FRA,7941,Veronique Dousselin,Jean Peter,,15,8,23,DNC,46,15
FRA,8748,Gilles Carvallo,Samuel Carvallo,,18,19,11,DNF,48,16
FRA,8717,Antoine Lortat,Jacob Bertrand,,13,DNC,7,DNC,51,17
FRA,8301,Bernard Blondy,Jean-Pierre Noclain,,23,12,17,DNC,52,18
FRA,8455,Marcel Buffet,Damien Trouillet,,17,17,19,DNF,53,19
FRA,8090,Loic Bleuez,Michel Bonnet,,20,15,21,DNC,56,20
FRA,8733,Michel Boiry,Bruno Gallardo,,DNF,20,18,DNF,69,21
FRA,8348,Jacques Bochu,Christophe Bochu,,DNC,DNC,12,DNF,74,22
FRA,8459,Christian Chevalier , ,,22,21,DNC,DNC,74,23
FRA,7999,Marc Riot,Geoffroy Riot,,21,22,DNC,DNC,74,24
FRA,8337,Bernard Taine,Dominique Theron,,19,DNF,DNC,DNC,81,25
FRA,8484,Philippe Blanchard,Carole Blattner,,DNC,DNC,22,DNC,84,26
FRA,8157,Bernard Dugrip,Laurent Camusson,,DNC,DNC,DNC,DNC,93,DNA
FRA,7932,Jacques Raguet,Jacques Cavalie,,DNC,DNC,DNF,DNC,93,DNA
FRA,8238,Jean-Marc Noclain,Lionel Lessol,,DNC,DNC,DNC,DNC,93,DNA
FRA,8704,Jean-Baptiste Dupont,Thierry Gresle,,DNF,DNC,DSQ,DNF,93,DNA
