SAIL,NUMBER,SAILORS,,CLUB/ORG,R1,R2,R3,R4,,BOAT NAME,NET,TOTAL,
USA,9106,Michael Martin,Adam Lowry,StFYC / NHYC,3,2,3,1,,Mike's Boat,9,9,1
USA,9003,Mike Holt,Carl Smit,Santa Cruz YC,1,4,1,5,,Jesse's Girl,11,11,2
USA,9004,Eric Anderson,Nic Baird,YCYC,5,1,5,2,,N = 1,13,13,3
GER,8965,Mike Zani,,Common Fence Point Dinghy Club,10,6,2,3,,Schnitzel,21,21,4
USA,9102,Douglas Hagan,Rob Woelfel,TBD,7,3,10,9,,Panic,29,29,5
USA,8715,Ethan Bixby,Chris Brady,St. Petersbury Sailing Center,2,11,13,8,,Pressure Drop,34,34,6
USA,9160,Howard Hamlin,Jeff Nelson,NHYC/ABYC,14,13,4,4,,Truckers Boat,35,35,7
USA,8786,Luke Ingalls,John Ingalls,Sakonnet ,8,7,6,15,,Barbara ,36,36,8
IRL,8987,Peter Scannell,John Dunlea,Monkstown Bay Sailing Club,17,9,7,7,,Lookadatla,40,40,9
CAN,9216,Robert Tennant,Steve Bourdow,RVicYC,13,8,8,11,,None,40,40,10
USA,909*,A.J. Conrads,Blaine Pedlow,Tahoe Yacht Club,4,10,21,14,,None,49,49,11
USA,916*,Paul Von Grey,Pierre Jeangirard,PVGYC,12,5,16,16,,None,49,49,12
USA,8930,Duane Delfosse,Mike Hull,Lake Sunapee YC,6,20,11,18,,None,55,55,13
USA,8851,Mike Komar,Ted Huebner,Sail Newport  Inc,,9,14,23,12,None,58,58,14
USA,9095,Macy Nelson,Russell Miller,West River Sailing Club,16,19,22,6,,Highway 95 Revisited,63,63,15
USA,8714,Reeve Dunne,Morgan Pickney,NA,15,12,18,22,,None,67,67,16
USA,9172,Paul Scoffin,Brendan Heussler,MBYC,19,17,19,13,,Tamaki,68,68,17
USA,900,Tom Kivney,,Hingham Yacht Club,DNF - 32,18,9,10,,Katiebear,69,69,18
USA,9186,Ted Bjerregaard,Keith Longson,Ida Lewis YC,23,15,14,17,,Uncle Drew,69,69,19
USA,8951,David Kirkpatrick,RJ Bay,Sail Newport,11,16,15,DNF - 32,,Toxic Masculinity,74,74,20
USA,8857,Brendan Connell,Gabriel Watson,West River Sailing Club ,18,23,12,23,,In The Red,76,76,21
USA,9005,Alex Tong,Adam Wolnikowski,YCYC,24,21,20,19,,The Bassmaster,84,84,22
USA,8841,Ali Meller,Mike Smith,International 505 Class,21,26,17,21,,Plan C,85,85,23
USA,8814,Lin Robson,Jason Breeden,SPSC,20,22,24,24,,Sojourner,90,90,24
USA,8643,Donald Harris,,WRSC & PRSA,DNC - 32,25,25,20,,Ten Percent for the Big Guy,102,102,25
USA,9173,Sterling Spruill,Travis Tucker,Hampton Yacht Club,22,24,26,RET - 32,,Team trouble,104,104,26
USA,9001,Andrew Schoene,Sam Normington,SailMaine,25,DNF - 32,DNC - 32,DNC - 32,,None,121,121,27
USA,9007,Matthew Barry,,YCYC,RET - 32,RET - 32,DNF - 32,DNC - 32,,License to Kill,128,128,28
USA,90*,Ted Conrads,Brian Haines,Tahoe,DNC - 32,DNC - 32,DNC - 32,DNC - 32,,IBIWCYHI,128,128,29
USA,8012,Lennart Nilsson,,Jamestown YC,DNC - 32,DNC - 32,DNC - 32,DNC - 32,,None,128,128,30
USA,8854,Craig Thompson,Mike Curtin,Minnis Bay Sailing Club,DNC - 32,DNC - 32,DNC - 32,DNC - 32,,Thompson Boat Works,128,128,31
