Boot,Steuermann,Vorschoter,Club,,Platzierungen,Punkte,Pl.
GER,8633,Frieder Achterberg,Wolfgang Stückl,DTYC,1,1,1
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,2,2,2
GER,8621,Stephan Schweiger,Johannes Schmederer,SCLW,3,3,3
GER,7930,Christoph Hessel,Anette Hessel,YCU,4,4,4
GER,8155,Tobias Kirsch,Jens Kirsch,SCRR,5,5,5
GER,8642,Thoralf Greger,Tobias Quadfaß,ASVG,6,6,6
GER,8580,Michael Seeger,Andreas Achterberg,DTYC,7,7,7
GER,8572,Peter Heimbeck,Thomas Heimbeck,SCLW,8,8,8
GER,8519,Robert Wisolek,Thorsten Koch,SCLW,9,9,9
GER,8654,Jochen Gosch,Sebastian Gosch,SVM,10,10,10
GER,7661,Frederike Geppert,Christina Höll,HSC,11,11,11
GER,7921,Jochen Heydolph,Eckhard Busch,SCLW,12,12,12
GER,8148,Heike Winchenbach,Christoph Klein,SKBUe,13,13,13
GER,8095,Albrecht Maisch,Frank Letsche,SGK,14,14,14
GER,8075,Markus Schöning,Florian Rdest,SVM,15,15,15
