,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Punkte,Pl.
GER,8720,Dirk Filimonow,Lars Stöckmann,BSV,1,1,2,DNC,,1
GER,8775,Tom Swift,Rainer Görge,NRV,11,2,1,2,,2
GER,87*,Stefan Böhm,Gerald Roos,SCV,2,5,7,9,,3
GER,8661,Diethardt Freye,Michael Klügel,BSV,8,12,3,3,,4
GER,8725,Dietrich Scheder-Bieschin,Rolf Meyer,NRV,6,3,5,7,,5
GER,8651,Joachim Oetken,Stefan Oetken,FYC,10,6,4,4,,6
GER,8669,Tim Böger,Axel Priegann,HSC,9,8,6,1,,7
GER,8730,Jens Hufnagel,Markus Schöner,ScStM,5,4,8,DNC,,8
GER,8441,Niels Ansgar Maisch,Rainer Gerdes,YCO,3,10,9,11,,9
GER,8527,Tim Steinert,Jens Steinert,ZSK,12,11,11,5,,10
GER,8675,Volker Görge,Karsten Morf,TSVS,14,7,17,6,,11
GER,8619,Jens Findel,Johannes Tellen,KYC,4,15,16,12,,12
GER,8549,Jens Meinert,Thomas Sobott,BCN,15,9,12,10,,13
GER,8570,Till Supan,Marius Knippscheer,ETUF,7,14,13,13,,14
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,18,13,10,14,,15
GER,8657,Melanie Horstmann,Georg Neulen,HSC,13,18,14,16,,16
GER,8546,Dirk Hänsgen,Frank Rupprich,SVPB,19,16,15,15,,17
GER,8750,Carsten Engel,Tobias Neumeyer,PSVK,OCS,17,DNC,8,,18
GER,8528,Andre Tirre,Frank Wille,YCS,21,20,18,17,,19
GER,8412,Antje Paulsen,Björn Schaar,BSV,17,19,19,DNC,,20
GER,8788,Peter Gerdts,Karsten Lahrs,HSC,16,DNC,DNC,DNC,,21
GER,7801,Christiane Giefers,Stefan Giefers,SVPB,20,21,DNC,DNC,,22
GER,7327,Petra Abel,Harald Abel,DHH-RG,22,22,DNC,DNC,,23
