Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Punkte,Pl.
GER,8721,Martin Seikel,Norbert Becker,PSVK,1,1,1,3,1
GER,8507,Armin Eismann,Tino Käcks,SCA,3,2,2,7,2
GER,8585,Martin Bernauer,Ulf Geisler,CNFT,2,3,3,8,3
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,5,5,4,14,4
GER,8530,Alexander von Mertens,Pia Wiesbauer,StSC,4,4,DNF,15,5
GER,8365,Andreas Lehmann,Robert Hanke,VsAW,DNF,6,DNF,20,6
