,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Punkte,Platz
GER,8862,Stefan Böhm,Gerald Roos,SCV,1,1,1,4,2,9,1
GER,8772,Ronald Roos,Kirsten Roos,SVWu,2,2,2,2,1,9,2
GER,8335,Helmut Madeheim,Thomas Osterholz,PBYC,3,3,3,3,3,15,3
GER,8725,Thorge Holm,Rebecca Strahl,BCN,4,4,4,1,4,17,4
GER,8370,Karsten Stümpel,Matthias Struck,HSC,5,DSQ,6,6,5,30,5
GER,8772,Eckhard Bräcker,Alexander von Mertens,SVWU,6,DSQ,5,5,6,30,6
GER,8712,Christian Labenz,Toni Bökenbrink,,7,DNC,7,7,7,36,7
