Nation,Boat,Helm,Crew,Club,Race 1,Points,Place
AUS,0,John Parrington,Chris Hough,,,,1
GBR,2017,Derek Farrant,Robin Farrant,,,,2
FRA,0,Mathieu Tanon,,,,,3
