Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total,Points,Place
RSA,9094,Peter Funke,Thomas Funke,Aeolians,1,1,1,1,[2],[2],2,1,2,13,9,1
RSA,9063,Theo Yon,Richard Hutton-Squire,RCYC/KSYC,2,2,2,3,[5],4,[8],4,3,33,20,2
RSA,879*,Cameron Diesel,Jonathan Ham,PSC,[DNS 13],[DNS 13],DNC 13,4,3,1,1,3,1,52,26,3
RSA,8445,Kyle Klaas,Robert von Gruenewaldt,PSC,[DNC 13],[DNC 13],DNC 13,2,1,3,3,2,4,54,28,4
RSA,8211,Drew Scott,Yogi Divaris,KYC,[DNC 13],[DNC 13],DNC 13,5,4,7,5,8,6,74,48,5
RSA,4*,Terrance Grossmith,Warwick Ham,PSC,[DNC 13],[DNC 13],DNC 13,DNC 13,6,10,4,6,5,83,57,6
RSA,9016,Arend Van Wamelen,David Nieman,PSC,[DNC 13],[DNC 13],DNC 13,6,9,6,9,9,9,87,61,7
RSA,8520,Aaron Biagio,Mark Biagio,VLC,[DNC 13],[DNC 13],DNC 13,DNC 13,7,8,6,7,7,87,61,8
RSA,8471,Campbell Tiley,CJ Milln,LDYC,[DNC 13],[DNC 13],DNC 13,DNC 13,DNS 13,5,7,5,DNC 13,95,69,9
RSA,7722,Dudley Thomson,Ian Campbell,BSC,[DNC 13],[DNC 13],DNC 13,DNC 13,8,9,10,10,8,97,71,10
RSA,584*,Adam Vaubell-Rott,Roupre Hooper,BSC,[DNC 13],[DNC 13],DNC 13,DNC 13,DNC 13,DNC 13,DNF 13,DNF 13,DNC 13,117,91,11
RSA,6756,Phillip Bennett,Nell Armstrong,Aeolians/VLC,[DNC 13],[DNC 13],DNC 13,DNC 13,DNC 13,DNC 13,DNC 13,DNC 13,DNC 13,117,91,11
