Country,SaiINo,Helm,CREW,CLUB,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,Netto,Place
RSA,9063,James Largier,Richard Hutton-Squire,TSC,[3],1,1,1,3,1,1,1,12,9,1
RSA,9094,Peter Funke,Thomas Funke,AEOLIANS,1,[2],2,2,1,2,2,2,14,12,2
RSA,6756,Ross Mackinnon,Alex Falcon,RCYC,2,4,3,4,2,3,3,[5],27,21,3
RSA,8788,David Rae,Aron Long,HYC,4,3,[5],3,4,3.6 RDG,3,3,28.6,23.6,4
RSA,8789,Warwick Ham,Jonatnan Ham,PSC,5,5,4,6,5,5,4,[DNC 11],45,34,5
RSA,8486,Theo Yon,Raaid Pentolfe,RCYC,6,6,[DSQ 11],5,6,4,DNC 11,5,54,43,6
RSA,8520,Aaron Biagio,Mark Biagio,VLC,7,7,7,7,7,6,[DNC 11],DNC 11,63,52,7
RSA,8211,Dom Provoyeur,Drew Scott,RCYC,8,8,6,9,8,7,[DNC 11],DNC 11,67,56,8
RSA,9016,Arend Van Wamelen,David Nieman,PSC,9,9,9,10,9,8,[DNC 11],DNC 11,76,65,9
RSA,8587,Andrew Arthur,Ian Campbell,ESC,10,10,8,9,10,9,[DNC 11],DNC 11,78,67,10
