Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
FRA,8484,"Philippe Blanchard","Carole Blattner",ACAL,3,2,1,1,7,,1
FRA,8455,"Marcel Buffet","Damien Trouillet",CVP,1,6,2,4,13,,2
GER,8519,"Robert Wisolek","Oliver Paulzen",SCLW,2,5,5,2,14,,3
GER,8473,"Oliver Kraft","Sebastian Dörr",SSCM,5,1,6,5,17,,4
FRA,7941,"Veronique Dousselin","Jean-Pierre Peter",ACAL,6,3,8,3,20,,5
GER,8691,"Günther Böckle","Frank Heimburger",SSCM,4,4,7,9,24,,6
FRA,8541,"Francis Doerenbecher","Aubin Doerenbecher",CNS,"OCS 17",8,3,7,35,,7
FRA,8352,"Jean-Marc Noclain","Jean-Pierre Noclain",CVA,8,11,9,6,34,,8
GER,8450,"Jürgen Feuerhake","Margit Falk",YCSb,7,9,10,8,34,,9
FRA,8688,"Robert Lehmann","Richard Wolff",ACAL,10,12,4,13,39,,10
GER,606,"Harald Wolff","Karl-Heinz Sax",,9,7,15,12,43,,11
GER,8530,"Alexander von Mertens","Ronald Berndt",StSC,11,10,11,11,43,,12
FRA,8301,"Bernard Blondy","Maxime Zarosinski",CVA,12,13,12,10,47,,13
GER,7851,"Christoph Bökle","Timo Böckle",SSCM,13,"DNF 17",14,14,58,,14
FRA,8288,"Lionel Lesoile","Roger Chabaud",CVA,14,"DNF 17",13,15,59,,15
FRA,8362,"Bernard Edel","Stephane Windholtz",ACAL,15,14,16,"DNF 17",62,,16
