Nation,Sail Number,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Total,Points,Position
GBR,8736,Bernard Dugrip,Laurent Camusson,,1,[6],1,1,9,3,1
FRA,8702,Jacques Raguet,Jacques Cavalie,,2,[9],2,2,15,6,2
FRA,8709,Jean-Marc Noclain,Lionel Lesoil,,3,3,[5],3,14,9,3
FRA,8564,Jean-Baptiste Dupont,Thierry Gresle,,4,4,3,[27 DNF],38,11,4
FRA,8687,Ian Pinnell,Nick Powell,,7,1,[8],5,21,13,5
FRA,8541,Philippe Boite,Jean-Luc Muzellec,,5,7,4,[27 DNF],43,16,6
FRA,8353,Alain Boite,Fabrice Toupet,,[12],5,6,8,31,19,7
FRA,8082,Laurent Haÿ,Franck Tudal,,[14],2,10,10,36,22,8
FRA,8372,Francois Fischer,Jerom Delvaux,,6,[18],14,4,42,24,9
FRA,8431,Francis Doerenbecher,Aubin Doerenbecher,,9,11,[16],6,42,26,10
FRA,8677,Robert Fossard,Ludovic Pretot,,8,13,[20],7,48,28,11
FRA,8449,Benoît Valleteau de Moulliac,,,11,10,[13],9,43,30,12
FRA,8400,Gilbert Vinches,Régis Viateur,,10,16,9,[27 DNC],62,35,13
FRA,8716,Emmanuel Boyer,Etienne Boyer,,16,14,15,[27 DNC],72,45,14
FRA,7941,Michel Christ,Philippe Claude,,15,8,23,[27 DNC],73,46,15
FRA,8748,Philippe Lucienne,Bernard Bonnet,,18,19,11,[27 DNF],75,48,16
FRA,8717,Marc Jouany,Yvan Doerenbecher,,13,[27 DNC],7,27 DNC,74,51,17
FRA,8301,Christian Silvestre,Pierre-Yves Partant,,23,12,17,[27 DNC],79,52,18
FRA,8455,Véronique Dousselin,Jean-Pierre Peter,,17,17,19,[27 DNF],80,53,19
FRA,8090,Gilles Carvallo,Samuel Carvallo,,20,15,21,[27 DNC],83,56,20
FRA,8733,Jacob-Antoine Lortat,Bertrand,,[27 DNF],20,18,27 DNF,92,69,21
FRA,8348,Bernard Blondy,Jean-Pierre Noclain,,[27 DNC],27 DNC,12,27 DNF,93,74,22
FRA,8459,Marcel Buffet,Damien Trouillet,,22,21,[27 DNC],27 DNC,97,74,23
FRA,7999,Loïc Bleuez,Michel Bonnet,,21,22,[27 DNC],27 DNC,97,74,24
FRA,8337,Michel Boiry,Bruno Gallardo,,19,[27 DNF],27 DNC,27 DNC,100,81,25
FRA,8484,Jacques Bochu,Christophe Bochu,,[27 DNC],27 DNC,22,27 DNC,103,84,26
FRA,8157,Christian Chevalier,,,27 DNC,27 DNC,27 DNC,27 DNC,27,93,27 DNA
FRA,7932,Marc Riot,Geoffroy Riot,,27 DNC,27 DNC,27 DNF,27 DNC,27,93,27 DNA
FRA,8238,Bernard Taine,Dominique Theron,,27 DNC,27 DNC,27 DNC,27 DNC,27,93,27 DNA
FRA,8704,Philippe Blanchard,Carole Blattner,,27 DNF,27 DNC,27 DSQ,27 DNF,27,93,27 DNA
