Nation,Boot,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,,Platz
FRA,8702,Philippe Boite,Jean-Luc Muzellec,CVM,1,3,4,1,4,4,2,DNC,,1
GBR,8736,Ian Pinnell,Nick Powell,GWSC,2,1,1,16,45,6,1,1,,2
DEN,8620,Jan Saugmann,Morten Ramsbæk,HiS,7,4,3,4,15,5,3,12,,3
GER,8750,Wolfgang Hunger,Holger Jess,PYC,5,2,7,8,9,28,6,4,,4
SUI,8729,Jean-Francois de Cerjat,Philippe Jacot,CVN,4,8,10,5,1,16,28,6,,5
GER,8725,Tom Gosch,Rolf Meyer,ENSFV,14,10,5,9,22,7,8,7,,6
GER,8720,Dirk Filimonow,Lars Stöckmann,BSV,31,DSQ,11,3,5,3,5,11,,7
GER,8746,Stefan Böhm,Gerald Roos,SCV,11,7,8,7,19,26,4,19,,8
GER,8550,Dietrich Scheder-Bieschin,Martin Schöler,NRV,28,15,21,2,7,14,7,13,,9
FRA,8564,Laurent Haÿ,Franck Tudal,YCIdF,6,6,19,6,25,19,25,3,,10
BEL,8553,Paul Gorremans,Maxime le Goff,VVWA,10,11,12,27,18,22,9,14,,11
GBR,8555,David Smithwhite,Neil Fulcher,FPSC,29,9,2,29,27,17,11,2,,12
SUI,8543,Cédric Bart,Marti Ueli,CNB,25,18,23,11,2,11,29,8,,13
GER,8621,Volker Niediek,Stefan Heising,BSV,19,5,15,22,11,9,27,17,,14
FRA,8687,Francois Fischer,Jerom Delvaux,CVdP,12,21,28,10,17,2,36,26,,15
GER,8649,Ronald Roos,Gerd Linnemann,SVWu,33,13,14,15,28,12,12,33,,16
SUI,8569,René Betschen,Patrick Ducommun,CNB,3,32,13,34,14,18,14,38,,17
SWE,8719,Jakob Lindvall,Kalle Byrenius,NSS,13,DNC,22,21,20,15,30,18,,18
GER,8671,Markus Mühlbauer,Angela Stenger,DTYC,44,29,34,24,3,1,34,16,,19
GER,8658,Christian Schäfer,Uwe Lätzsch,BYC,26,23,30,20,44,8,16,20,,20
GBR,8460,Martin Goult,Gordon Russell,Burgh.,18,DSQ,17,39,21,27,21,10,,21
FRA,8684,Pierre-Jean Gallo,Fabrice Toupet,CNE,21,37,9,13,35,38,15,24,,22
GER,8652,Sebastian Dörr,Christian Dörr,HSC,32,30,36,14,6,13,42,DNC,,23
FRA,8677,Michel Christ,Philippe Claude,CVdP,9,24,26,40,30,43,35,9,,24
SUI,8016,Florent Chapatte,Yvo Dürr,CVN,8,27,45,48,12,29,33,29,,25
GER,8633,Frank Weigelt,Wolfgang Stückl,DTYC,35,19,20,43,63,33,23,31,,26
GBR,8741,Vernon Ralston,Simon Spratt,TBYC,20,17,16,53,42,51,10,DNC,,27
FRA,8400,Marc Jouany,Frederic Roucayrol,CVdP,37,16,32,18,50,31,40,35,,28
