Nat Sail No.,Helm,Crew,,R1,R2,R3,R4,R5,R6,R7,R8,R9,Total,Nett,Place
CAN 9009,Bob Tennant,Steve Bourdow,,3,2,-9,2,-5,5,1,1,3,31,17,1
CAN 8192,Philip Cragg,Curran,,1,3,4,1,-7,(11.0 RET),3,3,2,35,17,2
USA 8631,Courtney Starks,Tom Crawford,,6,1,2,-7,6,-7,2,6,1,38,24,3
USA 8616,Lee Laney,Mike Powell,,2,-7,6,3,1,4,5,5,(11.0 OCS),44,26,4
CAN 8866,Cynthia Des Brisay,Charles Hansen,,4,4,-7,4,2,6,-8,2,7,44,29,5
USA 8017,Jon Seestrom,Mike Poulos,,-7,6,5,5,-8,1,4,4,5,45,30,6
USA 7156,Eric Coburn,,,-8,5,1,8,4,2,-9,7,6,50,33,7
CAN 8755,Brian Trainor,Evan Jennings,,5,8,3,6,-9,3,6,8,(11.0 DNF),59,39,8
USA 8439,Anne Fitspatrick,Piper Dunlap,,10,9,8,(11.0 OCS),3,8,7,(11.0 RET),4,71,49,9
CAN 8453,Fred Grimm,Samson,,9,10,10,9,10,(11.0 DNC),(11.0 DNC),11.0 DNC,11.0 DNC,92,70,10
