,Number,Helm,Crew,club,r1,r2,r3,r4,r5,points,,City,netto,Sailed: 5
CAN,8821,Jeff Boyd,Martin Ten Hove,KYC,1.0,(5.0),1.0,4.0,3.0,14.0,,Kingston,9.0,1st
CAN,8735,Martin Hicks,Brent Beninger,NSC,(5.0),3.0,4.0,2.0,1.0,15.0,,Nepean,10.0,2nd
CAN,89,Marie Gendron,Nicolas Tosi,NSC,(6.0),2.0,3.0,3.0,4.0,18.0,,Saint-Zotique,12.0,3rd
CAN,8930,Duane Delfosse,Soloman Marini,LSYC,2.0,6.0,(7.0),5.0,2.0,22.0,,Windham,15.0,4th
CAN,9028,Shona Moss Lovshin,Devlin Lovshin,NSC,4.0,(11.0),8.0,1.0,6.0,30.0,,Chelsea,19.0,5th
USA,9005,Thomas Kivney,Max Crothers,HINGHAM YC,3.0,4.0,2.0,(14.0 DNC),14.0 DNC,37.0,,Hingham,23.0,6th
CAN,8987,Peter Scannell,John Dunlea,MONKSTOWN BAY S,8.0,1.0,5.0,(14.0 DNC),14.0 DNC,42.0,,Saratoga Springs,28.0,7th
CAN,8368,Paul Place,David Mincoff,NSC,7.0,(10.0),9.0,6.0,7.0,39.0,,Chelsea,29.0,8th
CAN,9138,Marek Balinski,Leszek Nowosielski,OHCC,(11.0),9.0,11.0,9.0,5.0,45.0,,Toronto,34.0,9th
CAN,9183,Michael Breton,Andrew Gesling,SAIL NEWPORT,(10.0),7.0,10.0,8.0,9.0,44.0,,Charlestown,34.0,10th
CAN,8610,Michael Wonnacott,Shona Weldon,NSC,9.0,12.0,6.0,(14.0 RET),10.0,51.0,,Chelsea,37.0,11th
CAN,7346,Deborah Ashby,Dave Adams,NSC,(14.0 DNC),14.0 DNC,14.0 DNC,7.0,8.0,57.0,,Ottawa,43.0,12th
CAN,7605,Adam J Gesing,David Stetson, ,12.0,8.0,12.0,(14.0 DNC),14.0 DNC,60.0,,Kingston,46.0,13th
