Country,Boat number,Helm,Crew,Club,,,Place
FRA,5565,Marcel Buffet,Nicolas Vasseur,,,,1
FRA,5643,Bernard Paternault,Denis Guiomard,,,,2
FRA,4891,F. Souvestre,Paternault,,,,3
FRA,5656,Jean-Marc Boudier,Annie Boudier,,,,4
FRA,5575,Christian Maréchal,Neveu,,,,5
FRA,6210,Claude Fixot,Boudier,,,,6
FRA,5999,Voisin,Voisin,,,,7
FRA,5977,Sustra,Fouret,,,,8
FRA,4206,Cauvy,Fraikin,,,,9
FRA,5890,Berault,Berault,,,,10
FRA,6341,Huet,Deloffre,,,,10
