Country,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Points,Place
FRA,,Guy de Restrepo,Laffargue,,1,,,14,1
FRA,,Bernard Moret,René Morch,,,1,,17,2
FRA,5464,Serge Guillaume,Joquel,,,,,21,3
FRA,6198,Jean‑Michel Russo,Romens,,,,1,24,4
FRA,,Berthier,De Mesmay,,,,,"28,7",5
FRA,,Noël,Noël,,,,,"31,4",6
GER,,Ralf Stoll,Schweig,,,,,"33,7",7
FRA,,Francis Doerenbecher,Aubin Doerenbecher,,,,,43,8
FRA,6095,Robert Fossard,Lamaze,,,,,"43,7",9
FRA,,Chovelon,Marquet,,,,,52,10
FRA,,Gaillard,Peyramond,,,,,"54,7",11
FRA,,Muesser,Nalet,,,,,59,12
FRA,6170,Marcel Buffet,Yves Brézot,,,,,61,13
FRA,,Perrin,Perrin,,,,,62,14
FRA,,Mirabello,Fabiano,,,,,65,15
FRA,,Mulder,Regnier,,,,,66,16
FRA,,Tournier,Wantz,,,,,72,17
FRA,,Bernard Reynier,Jérôme Langlois,,,,,73,18
FRA,,Bujeaud,Boissinot,,,,,74,19
FRA,,Garcia,Vieux,,,,,75,20
FRA,,Couturier,Mercier,,,,,75,21
FRA,,Liquière,Deloye,,,,,77,22
FRA,6279,Alain Doloy,Didier Rennesson,,,,,81,23
