Country,Boat number,Helm,Crew,Club,,,Place
FRA,5565,Marcel Buffet,Jacques Chouraki,,,,1
FRA,,Gilbert Vinches,Patrick Conard,,,,2
FRA,5790,Robert Leibovitch,Philippe Sérane,,,,3
FRA,,Audren,Yves Brezot,,,,4
FRA,5651,François Le Trocquer,Devaux,,,,5
FRA,5967,Landry,Landry,,,,6
FRA,,Léopold Leger,Seroclat,,,,7
FRA,5612,Philippe,Philippe,,,,8
FRA,,Polvé,Bidard,,,,9
