Country,Boat number,Helm,Crew,Club,Race 1,Race 2,Race 3,Points,Place
FRA,,Philippe Lecrit,Martine Lecrit,,,,,10,1
GER,,Wiedemann,Wiedemann,,,,,20,2
SUI,,Eichenberger,Caspar,,,,,30,3
FRA,,Marcel Buffet,Philippe Blanchard,,,,,32,4
GER,,Dietz,Strommenger,,,,,"47,7",5
GER,,Zander,Becker,,,,,"47,7",6
GER,,Muller,Stein,,,,,53,7
GER,,Brigitte Preuss,Bertenram,,,,,53,8
GER,,Kuhn,Bradfisch,,,,,"54,7",9
FRA,,Francis Doerenbecher,Aubin Doerenbecher,,,,,"56,7",10
FRA,,Guy de Restrepo,Laffargue,,,,,57,11
FRA,,Seris,Seris,,,,,"60,7",12
GER,,Eberl,Eberl,,,,,64,13
SUI,,Ingold,Neth,,,,,"65,7",14
GER,,Wiedemann,Frankfurth,,,,,67,15
FRA,,Louis,Schelker,,,,,70,16
FRA,,Noël,Noël,,,,,73,17
GER,,Ralf Stoll,Schweig,,,,,74,18
GER,,Wiedemann,Niedemann,,,,,76,19
GER,,Winter,Crux,,,,,83,20
GER,,Heck,Stienen,,,,,83,21
SUI,,Vittelli,Simon,,,,,85,22
FRA,,Deleau,Bailly,,,,,86,23
GER,,Ehrhardt,Ehrhardt,,,,,88,24
GER,,Hammer,Hammer,,,,,91,25
GRE,,Philippides,Jacques,,,,,93,26
GER,,Bock,Hell,,,,,107,27
GER,,Krebser,Jimpfer,,,,,109,28
FRA,,Metzer,Plessy,,,,,111,29
GER,,Schlereth,Sauder,,,,,113,30
GER,,Leh,Bau,,,,,116,31
FRA,,Blanchard,Blanchard,,,,,116,32
FRA,,Hervouet,Haouy,,,,,118,33
SUI,,Ingold,Walter,,,,,119,34
GER,,Frisch,Forster,,,,,119,35
GER,,Richter,Rauer,,,,,131,36
GER,,Queumatz,Becker,,,,,136,37
GER,,Bode,Bode,,,,,137,38
FRA,,Foucaud,Priestmann,,,,,139,39
GER,,Koritz,Luers,,,,,146,40
FRA,,Dubois,Dassin,,,,,153,41
FRA,,Bereault,Bereault,,,,,155,42
GER,,Meyer,Bobbert,,,,,156,43
LUX,,Haustgen,Haustgen,,,,,156,44
GER,,Gorlitz,Gorlitz,,,,,156,45
FRA,,Schwab,Brifoteaux,,,,,157,46
GER,,Ehrard,Ehrard,,,,,157,47
GER,,Pfisterer,Unser,,,,,158,48
GER,,Bolender,Bolender,,,,,161,49
GER,,Hempe,Jenssen,,,,,167,50
GER,,Sittler,Wagner,,,,,168,51
FRA,,Bouvier,Millot,,,,,170,52
GER,,Zettel,Schlenhoff,,,,,171,53
FRA,,Moreau,Berr,,,,,171,54
FRA,,Carvallo,Henry,,,,,186,55
GER,,Frisch,Trosclhez,,,,,186,56
FRA,,Wastiaux,Laugerotte,,,,,192,57
NED,,Mulder,Regnier,,,,,193,58
GER,,Ever,Elend,,,,,195,59
GER,,Kappeler,Krausse,,,,,198,60
GER,,Blaschette,Breger,,,,,200,61
FRA,,Milsant,Gombert,,,,,204,62
GER,,Korber,Sick,,,,,206,63
GER,,Kenkloh,Bues,,,,,206,64
GER,,Gross,Oschanowsky,,,,,217,65
GER,,Ytost,Oxler,,,,,218,66
GER,,Renz,Renz,,,,,222,67
GER,,Klein,Fewerhake,,,,,222,68
