Country,Boat number,Helm,Crew,Club,,,Place
FRA,5827,Thibault Di Pede,Metanier,,,,1
FRA,5400,Léopold Leger,Chaput,,,,2
FRA,5565,Marcel Buffet,Schloter,,,,3
FRA,6176,Ces,Ces,,,,4
FRA,3199,Hertel,Hertel,,,,5
FRA,5643,Bernard Paternault,Denis Guiomard,,,,6
FRA,4891,Souvestre,Paternault,,,,7
FRA,6210,Fixot,Paternault,,,,8
FRA,4707,Noël,Mme Noël,,,,9
FRA,5155,Richard Gaudry,Fochez,,,,10
FRA,6178,Niverd,Niverd,,,,11
