Country,Boat no,Helm,Crew,Club,Race 1,Points,Place
FRA,6170,Marcel Buffet,Nicolas Vasseur,,,0,1
FRA,,Gilbert Vinches,Patrick Conard,,,"11,7",2
FRA,5967,Landry,Landry,,,14,3
FRA,,Léopold Leger,Checoye,,,"19,4",4
FRA,,Fontaine,Mabire,,,29,5
FRA,5790,Robert Leibovitch,Blasquiz,,,"34,7",6
FRA,,Marechal,Amiot,,,"36,7",7
FRA,,Gaudry,Gaudry,,,44,8
FRA,,Souvestre,Paternaut,,,44,9
FRA,,Legond,Legond,,,"44,7",10
FRA,,Fixot,Deslandes,,,46,11
FRA,5977,Sustra,Fouret,,,46,12
FRA,,Chaffaux,Olivier,,,49,13
FRA,,Voisin,Voisin,,,59,14
FRA,5890,Berault,Berault,,,60,15
FRA,,Noël,Noël,,,61,16
FRA,,Bourchou,Bouichou,,,67,17
