Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
SWE,,Staffan Eklund,Anders Eklund,,,,,,,,1
SWE,6144,Krister Bergström,Martin Bergström,,,,,,,,2
FRA,6347,Nicholas Loday,Nicolas Fédorenko,,,,,,,,3
HNK,6180,Eric Lockeyear,Tim Hammick,,,,,,,,4
FRA,,Jérôme Langlois,Philippe Sérane,,,,,,,,5
FRA,,Yves Pottier,Mahe,,,,,,,,6
FRA,5651,François Le Trocquer,Wladimir Dombrowski,,,,,,,,7
FRA,5565,Marcel Buffet,Thierry Moreau-Defarges,,,,,,,,8
FRA,6126,Francois Cuny,Eric Cuny,,,,,,,,9
FRA,6037,Tristan,Fountaine,,,,,,,,10
FRA,5464,Serge Guillaume,Dupuis,,,,,,,,11
FRA,,Maniere,Lostis,,,,,,,,12
FRA,6279,Alain Doloy,Debeaumont,,,,,,,,13
FRA,,P. Gadel,G. Gadel,,,,,,,,14
FRA,,Bruno Lévesque,Yvon Kergreis,,,,,,,,15
FRA,,Gilbert Vinches,François Padovani,,,,,,,,16
FRA,,Gérard Derché,Alain Derché,,,,,,,,17
USA,,Dan Thompson,Dan Downing,,,,,,,,18
FRA,,Leopold,Leger Chaput,,,,,,,,19
FRA,,Pajot,Lecerc,,,,,,,,20
FRA,,Bornert,Bornert,,,,,,,,21
GER,,Brigitte Preuß,Rolf Bertenrath,,,,,,,,22
FRA,,Bernard Moret,René Morch,,,,,,,,23
USA,6292,Steve Taylor,Stan Honey,,,,,,,,24
FRA,6170,Marc Bouet,Nicolas Jolly,,,,,,,,25
FRA,,Van Der Brooke,De Mont Bel,,,,,,,,26
FRA,,Dinel,Leclerq,,,,,,,,27
FRA,,Brown,Burke,,,,,,,,28
FRA,,Bourn,Guy,,,,,,,,29
FRA,5575,Marechal,Gerbet,,,,,,,,30
SUI,,Josef Zuppiger,Franceschino,,,,,,,,31
FRA,,Doerenbecher,Doerenbecher,,,,,,,,32
FRA,5000,Jacques Raguet,Larat,,,,,,,,33
FRA,,Le Gloahec,Langerotte,,,,,,,,34
FRA,,Sally Lindsay,Mark Lindsay,,,,,,,,35
FRA,,Jean-François Fountaine,Pierre Fountaine,,,,,,,,36
FRA,,Veteau,Frindik,,,,,,,,37
FRA,,Léon Brillouet,Gillet,,,,,,,,38
FRA,,Robert Fossard,Vincent Barthélemy,,,,,,,,39
FRA,,Christian Marechal,Larrivoire,,,,,,,,40
FRA,,Andren,Verger,,,,,,,,41
FRA,,Robert Leibovitch,Yves Brézot,,,,,,,,42
FRA,,Oudard,Oudard,,,,,,,,43
FRA,,Mautin,Krassilnikoff,,,,,,,,44
FRA,,Lepage,Lepage,,,,,,,,45
FRA,,Mehl,Gindre,,,,,,,,46
FRA,,Ewaldsen,Zecher,,,,,,,,47
FRA,,Georges Landry,Jean Landry,,,,,,,,48
FRA,,Farman,Amy,,,,,,,,49
FRA,,Van Royen,Rabic,,,,,,,,50
FRA,,François Fischer,Jacques Chouraki,,,,,,,,51
FRA,,Dohen,Cattelain,,,,,,,,52
FRA,,Michel Christ,Cordonnier,,,,,,,,53
FRA,,Banel,Hettich,,,,,,,,54
FRA,,Schwab,Chambrette,,,,,,,,55
FRA,,Franck Lefevre,Richard Lefevre,,,,,,,,56
FRA,6241,Nicot,Nicot,,,,,,,,57
FRA,,Lortat-Jacob,Lortat-Jacob,,,,,,,,58
FRA,4224,Jacques Cavalié,Jaubert,,,,,,,,59
FRA,,Geliot,Leyrat,,,,,,,,60
FRA,,Niverd,Niverd,,,,,,,,61
FRA,,Gesing,Hammond,,,,,,,,62
FRA,,Jenssen,Jenssen,,,,,,,,63
FRA,,Polet,Lafolie,,,,,,,,64
FRA,,Hebert,Hebert,,,,,,,,65
FRA,6262,Jean-Marie Danielou,François Richard,,,,,,,,66
FRA,,Crossquard,Stringer,,,,,,,,67
FRA,,Atort,Atort,,,,,,,,68
