Country,Boat number,Helm,Crew,Club,Race 1,Race 2,Race 3,Points,Place
FRA,,Guy de Restrepo,Laffargue,,,,,,1
FRA,,Bernard Moret,René Morch,,,,,,2
FRA,5464,Serge Guillaume,Joquel,,,,,,3
FRA,6198,Jean‑Michel Russo,Romens,,,1,,,4
FRA,,Berthier,De Mesmay,,,,,,5
FRA,,Noël,Noël,,,,,,6
GER,,Ralf Stoll,Schweig,,,,,,7
FRA,,Francis Doerenbecher,Aubin Doerenbecher,,,,,,8
FRA,,Fossard,Lamaze,,,,,,9
FRA,,Chovelon,Marquet,,,,,,10
FRA,,Gaillard,Peyramond,,,,,,11
FRA,,Muesser,Nalet,,,,,,12
FRA,6170,Marcel Buffet,Yves Brezot,,,,,,13
FRA,,Perrin,Perrin,,,,,,14
FRA,,Mirabello,Fabiano,,,,,,15
FRA,,Mulder,Regnier,,,,,,16
FRA,,Tournier,Wantz,,,,,,17
FRA,,Bernard Reynier,Jérôme Langlois,,,,,,18
FRA,,Bujeaud,Boissinot,,,,,,19
FRA,,Garcia,Vieux,,,,,,20
FRA,,Couturier,Mercier,,,,,,21
FRA,,Liquière,Deloye,,,,,,22
FRA,6279,Alain Doloy,Renneson,,,,,,23
