Nation,Sail,Skipper,,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total Points,Pos
USA,7200,Krysia Pohl,,,2,1,3,3,1,1,11.00,1
USA,7199,Stergios Papadakis,,,3,5,1,2,4,2,17.00,2
USA,7092,Dustin Romey,,,4,4,4,6,2,3,23.00,3
USA,7068,Bob Patterson,,,7,3,6,5,3,4,28.00,4
USA,8722,Macy Nelson,,,1,2,2,1,14/DNC,14/DNC,34.00,5
USA,8351,Doug Watson,,,5,6,7,7,7,7,39.00,6
USA,8316,Nicholas Place,,,14/DNC,9,5,8,5,6,47.00,7
USA,7150,Chris Legg,,,9,10,8,14/DNF,6,5,52.00,8
USA,6985,Mike Breton,,,8,7,9,4,14/DNC,14/DNC,56.00,9
USA,8261,Bill Heintz,,,10,11,10,9,8,8,56.00,10
USA,8018,John Hauser,,,6,8,14/DNC,14/DNC,14/DNC,14/DNC,70.00,11
USA,7080,Tim Williams,,,14/DNC,14/DNC,14/DNC,14/DNC,14/DNF,9,79.00,12
USA,6987,Jay Bergquist,,,14/DNC,14/DNC,14/DNC,14/DNC,14/DNC,10,80.00,13
