Pos,Sail,Skipper,,,Race 1,Race 2,Race 3,Total Points,Pos
USA,7876,John Rich,,,1,1,1,3.00,1
USA,7080,Charles Fulmer,,,2,3,2,7.00,2
USA,7068,Bob Patterson,,,3,2,3,8.00,3
