Pos,Sail,Skipper,,,Race 1,Race 2,Race 3,Total Points,Pos
USA,7199,Alison Papadakis,,,2,1,1,4.00,1
USA,7068,Bob Patterson,,,1,2,3,6.00,2
USA,7776,Robert O'Brien,,,4,3,2,9.00,3
USA,7080,J Berquist,,,5,4,4,13.00,4
USA,7200,John Hauser,,,3,7/DNC,7/DNF,17.00,5
USA,8766,Maldari Frank,,,7/DNF,5,5,17.00,6
