Country,Sail,Helm,Crew,Club,Race 1,Race 2,Race 3,Total,Final
USA,8776,Howard Hamlin,Peter Alarie,,1,2,8,11,1
USA,8792,"Alexander ""Ali"" Meller",Jesse Falsone,,6,9,3,18,2
USA,8266,Carol Buchan,Carl Buchan,,5,4,14,23,
USA,6992,Brad Wheeler,Bill Mais,,13,5,5,23,4
USA,8822,Mike Holt,Carl Smit,,15,12,1,28,5
USA,8660,Bruce Edwards,David Shelton,,2,21,6,29,6
USA,8714,Mike Martin,Jeffrey Nelson,,3,26,2,31,7
USA,8616,David Chatham,Matt McQueen,,20,8,4,32,8
USA,8824,Andy Beeckman,Ben Benjamin,,17,10,7,34,9
USA,8815,Fritz Lanzinger,Jay Renehan,,12,13,10,35,10
USA,7873,Nick Adamson,Alan Norman,,22,3,11,36,11
USA,7875,Jeff Miller,Jay Kuncl,,14,7,16,37,12
USA,8823,Nigel Oswald,Rob Woelfel,,8,15,18,41,13
USA,8554,Douglas Hagan,Stuart Park,,4,18,20,42,14
USA,8813,Stefan Köchlin,Paul Allen,,9,1,32,42,15
USA,8731,Thad Lieb,Mike Smith,,23,11,9,43,16
USA,8631,Ryan Cox,Jeff Grange,,10,23,12,45,17
USA,8831,Kerry Poe,Paul von Grey,,11,24,13,48,18
USA,7201,Bill Jenkins,Harry Dunning,,18,17,15,50,19
USA,8762,Daniel Thompson,John Bell,,7,14,32,53,20
CAN,8192,Philip Cragg,David Cross,,16,6,32,54,21
USA,8081,Carisa Harris-Adamson,Ralph Silverman,,19,16,22,57,22
USA,7156,Aaron Ross,Brad Nieuwsted,,24,19,17,60,23
USA,6991,Geoff Nelson,Bill McKinney,,28,22,21,71,24
USA,2,Richard Clarke,Holger Jess,,21,20,32,73,25
CAN,8755,Brian Trainor,Karl Oswald,,27,27,19,73,26
USA,7886,Dan Strellis,Mark Engebretsen,,26,25,26,77,27
USA,8,Philippe Kahn,Andrew Estcourt,,25,28,25,78,28
USA,8453,Stuart Sinclair,Rich Elstrom,,29,29,23,81,29
USA,7110,Ryan Nelson,Brett Tracy,,31,31,24,86,30
USA,7773,John Billings III,John Billings II,,30,30,27,87,31
USA,7069,Stephen Bourdow,David Byron,,32,32,32,96,32
