Pos,Sail,Skipper,Crew,,Race 1,Race 2,Race 3,Race 4,Total Points,Pos
USA,8012,Henry Amthor,Dustin Romey,,2,1,1,[7],4.00,1
USA,8018,Alon Finkelstein,Sol Marini,,1,[4],3,1,5.00,2
USA,7200,Ali Meller,Travis Weisler,,3,[5],2,2,7.00,3
USA,7199,Stergios Papadakis,Mike Renda,,6,3,[8],5,14.00,4
USA,6985,Mike Benton,,,4,9,[18/DNC],4,17.00,5
USA,8316,Nicholas Place,,,[8],7,5,6,18.00,6
USA,8351,Doug Watson,Chris Watson,,9,11,4,[18/DNC],24.00,7
USA,7150,Chris Legg,Howie Baetjer,,11,8,6,[18/DNC],25.00,8
USA,7068,Bob Patterson,Martin Hermida,,7,10,[18/DNC],10,27.00,9
USA,6987,Jay Bergquist,Katrin Wiggins,,[18/DNC],18/DNC,7,3,28.00,10
USA,7876,John Hauser,Perry Barclay,,5,6,[18/DNC],18/DNC,29.00,11
USA,7776,Robert O'Brien,Ken Jacobs,,10,13,[18/DNC],9,32.00,12
USA,8791,Richard Moakes,Andrew Moakes,,[18/DNC],16,10,8,34.00,13
USA,8790,John Wyles,Riccardo Cugini,,[18/DNC],14,9,11,34.00,14
USA,8643,Barney Harris,Dylan Breton,,[18/DNC],2,18/DNC,18/DNC,38.00,15
USA,7080,Steve Lieberman,Carlos Linares,,12,12,[18/DNF],18/DNC,42.00,16
USA,7092,Michael Coe,,,[18/DNC],15,18/DNC,18/DNC,51.00,17
