Country,Sail No,Helm,Crew,Boat,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place,
USA,8714,Mike Martin,Jeff Nelson,,"3,5",2,1,5,2,1,"14,5",1,
USA,8266,Howard Hamlin,Peter Alarie,,"3,5",3,2,1,3,3,"15,5",2,
USA,8822,Mike Holt,Carl Smit,,2,6,3,4,1,2,18,3,
USA,8680,Bruce Edwards,,DNPS,1,1,5,6,4,5,22,4,
USA,8762,Andy Zinn,,,7,8,7,7,5,4,38,5,
USA,8824,Andy Beckman,Jon,VDM,9,4,4,3,7,18,45,6,
USA,8631,Ryan Cox,Jeff Grange,,6,7,11,2,18,7,51,7,
USA,8084,Rob Waterman,,,18,10,9,9,6,6,58,8,
USA,7873,Nick Adamson,,Pinkness,5,5,6,8,18,18,60,9,
USA,8554,Douglas Hagan,,Panic,12,9,8,11,9,18,67,10,
USA,8731,Thad Lieb,,Big Mortgage,13,11,12,14,8,18,76,11,
USA,8411,Dan Merino,,Phlegm de Jour,11,12,10,10,18,18,79,12,
USA,7877,Steve Anderes,,Alien,14,13,14,12,18,18,89,13,
USA,7156,Aaron Ross,,Money Shot,18,15,13,13,18,18,95,14,
USA,1,Shark Kahn,,Pegasus,10,14,18,18,18,18,96,15,
USA,7875,Jeff Miller,Jay Kuncl,,8,18,18,18,18,18,98,16,
USA,6992,Brad Wheeler,,Balboa,18,18,15,15,18,18,102,17,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,                                                  
