Series Place,Sail No,Helm,Crew,Boat,Race 1,Race 2,Race 3,Race 4,Race 5,Series Points,Series Place
USA,8680,Bruce Edwards,David Shelton,Dog N Pony Show,5,2,1,4,4,11,1
USA,8762,Dan Thompson,,New Wood,2,4,7,2,5,13,2
USA,8822,Mike Holt,Carl Smit,Exxex Girl,3,1,5,6,40,15,3
USA,8824,Andy Beckman,Benny Bejamin,Gummy de Milo,6,3,2,40,6,17,4
USA,8266,Howard Hamlin,,Work Boat,4,12,9,3,3,19,5
USA,7875,Jeff Miller,, ,8,5,6,14,2,21,6
USA,8554,Douglas Hagan,Stuart Park,Green Machine,9,6,18,9,12,36,7
USA,7069,Adam Lowry,,Story Time,19,8,19,11,8,46,8
USA,8631,Ryan Cox,,Bust of Woe,11,11,10,19,14,46,9
USA,8714,Mike Martin,Jeff Nelson,Black Boat,1,40,40,5,1,47,10
USA,8815,Fritz Lanzinger,Jay Renehan, ,12,7,8,22,26,49,11
CAN,8681,Robin Brown,,Mystery Man,18,17,12,12,9,50,12
USA,8823,Nigel Oswald,, ,10,10,17,15,16,51,13
USA,8792,Carol Buchan,Carl Buchan,Yellow Jacket,16,40,3,8,27,54,14
USA,8715,Mary,Erik Boothe, ,21,19,11,13,11,54,15
USA,8616,Dave Chatham,,Pink Tako,14,9,40,10,24,57,16
USA,8084,Steve Flam,Rob Waterman, ,22,13,14,20,17,64,17
USA,8838,Philippe Kahn,,Pegasus - 4,15,16,23,21,22,74,18
USA,8776,Ali Meller,Jesse Falsone,Team CSC,7,24,4,40,40,75,19
USA,8786,Pierre Jeangirard,, ,40,23,13,28,13,77,20
USA,8841,Shark Kahn,,Pegasus - 1,23,40,21,18,18,80,21
USA,8814,Lin Robson,,Sojouerner,17,25,15,25,40,82,22
USA,8731,Thad Lieb,, ,13,40,40,16,15,84,23
USA,8411,Dan Merino,Bill Jenkins,Phlegm of the sea,20,20,40,27,19,86,24
USA,7877,Steve Anderes,,Surfin Alein,24,18,22,29,23,87,25
USA,11*,Morgan Larson,Trevor Baylis,Pegasus - 3,40,40,40,1,7,88,26
USA,7156,Aaron Ross,,Money Shot,26,15,40,26,25,92,27
USA,8842,Mark Christensen,,Pegasus - 5,30,40,25,17,20,92,28
USA,7873,Nick Adamson,Alan Norman,Pinkness,40,40,40,7,10,97,29
USA,8576,Jeff Sloan, ,,40,14,20,24,40,98,30
USA,6992,Brad Wheeler,Bill Mais,Team Viagra,40,40,16,33,21,110,31
USA,7773,John Billings,,Feed The Kitty,29,22,40,32,29,112,32
USA,7094,Jennifer Lawson,, ,40,26,24,34,30,114,33
USA,7093,Garth Reynolds,,Shampoo Effect,25,21,40,30,40,116,34
CAN,8755,Brian Trainor,,Banshee,40,27,40,31,28,126,35
USA,8081,Carisa Harris,Ralph Silverman,Unprotected,27,40,40,23,40,130,36
USA,7886,Dan Strellis,,Fasterin Foo,28,40,40,35,40,143,37
USA,2*,Adrian Finglas,,Pegasus - 2,40,40,40,40,40,160,38
USA,7110,Ryan Nelson,,Ryan's Boat,40,40,40,40,40,160,38
