Nation,Boat NO,helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
GER,8929,Kai Bertallot,Jan Reifferscheidt,FSC,4,1,-5,1,1,1,8,1
GER,8992,Lutz Stengel,Frank Feller,ROYC,1,2,1,3,-6,2,9,2
GER,9127,Ulf Plessmann,Hans-Heinrich Rix,,2,-7,2,2,2,4,12,3
DEN,912*,Jens Olbrysch,Oliver Thies,HSC,3,3,4,-5,3,3,16,4
GER,9066,Peter Gerdts,Christian Labenz,SVWU,5,4,6,-8,4,5,24,5
GER,8903,Steve Kwee,Thorsten Spötter,HSC,7,8,3,4,7,-9,29,6
GER,9054,Anika Kebreau,Raik Wollenbecker,YCBG,6,6,-7,6,5,7,30,7
GER,9113,Joseph Schütte,Karsten Stümpel,SLRV,10,(DNF),8,9,9,6,42,8
GER,913*,Jens Biederer,Thomas Wasilewski,HSC,9,(DNF),9,7,8,10,43,9
GER,8932,Christian Henge,Katja Henge ,WSCW,8,5,10,-12,10,12,45,10
GER,8988,Georg Mittermayer,Dirk Barteldt,SCLL,11,9,-12,10,11,8,49,11
GER,8697,Stephan Briehl,Christian Zils,MYCR,12,(DNF),11,11,12,13,59,12
GER,8531,Wilhelm Wollenbecke,Hermann Wollenbecke,YCBTF,13,(DNF),13,13,13,11,63,13
