Sail Number,Team,,Club,R1,R2,R3,R4,T,N,Nr
GER 9133,Frieder Achterberg,Wolfgang Stückl,DTYC,2,(3),1,3,9,6,1
GER 9101,Timon Treichel,Morten Roos,DYC,(4),1,4,2,11,7,2
GER 9090,Christian Kellner,Johannes Tellen,HSC,3,2,2,(4),11,7,3
GER 9146,Julian Stückl,Jakob Achterberg,DTYC,1,5,3,(7),16,9,4
GER 9182,Alexander Holzapfel,Finn Böger,PSVK,7,6,(24) OCS,1,38,14,5
GER 9043,Nicola Birkner,Angela Stenger,VSAW,(6),4,5,5,20,14,6
GER 9189,Hendrik Schultz,Ute Oberländer,SCLW,5,(7),6,6,24,17,7
AUS 9028,Earle Alexander,Julia Achterberg,DPSS,(8),8,7,8,31,23,8
GER 8598,Anna Heinisch,Bernd Heinisch,HSC,9,(20),8,14,51,31,9
GER 8658,Christina Wilhelm,Alexander Wilhelm,HSC,13,9,10,(24) DNF,56,32,10
GER 9114,Mats Westholm,Pedro Bohnenberger,SCLW,11,12,9,(13),45,32,11
GER 8975,Maike Roos,Maren Roos,SVWU,10,11,(16),12,49,33,12
SUI 8997,Christoph Bökle,Frank Heimburger,SSCM,14,(17),11,9,51,34,13
GER 9123,Enno Wilts,Martin Lietz,SVBB,(24) DNF,13,14,10,61,37,14
GER 8580,Andreas Achterberg,Verena Achterberg,BYC,(19),14,12,11,56,37,15
GER 8990,Ralf Breitenfeldt,Thore Von Puttkamer,HSC,12,10,(17),17,56,39,16
GER 8672,Dirk Hütten,Guido Von Walter,SGR,(17),16,13,16,62,45,17
GER 8531,Wilhelm Wollenbecker,Hermann Wollenbecker,YCBTF,(18),15,15,15,63,45,18
GER 8998,Ingo Schneider,Sebastian Hoering,SCLW,15,(18),18,18,69,51,19
GER 8386,Jochen Heydolph,Achim Funk,SCLW,16,19,19,(24) DNF,78,54,20
GER 8712,Stefan Krumm,Uwe Krumm,SSCM,20,(24) DNF,24 DNF,24 DNF,92,68,21
GER 8691,Harald König,Michael Müller,SRVL-S,(24) DNC,24 DNC,24 DNC,24 DNC,96,72,22
GER 9100,Nathalie Zeiler,Thorsten Koch,SCLW,(24) DNC,24 DNC,24 DNC,24 DNC,96,72,22
