Nation,Sail NO,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Total,Pos
USA,8714,Mike Martin,,StFYC/NHYC,2,3,1,6,1
USA,9002,Mike Holt,,Santa Cruz YC,1,2,5,8,2
USA,7875,Jeff Miller,,SCYC,3,4,2,9,3
USA,7156,Aaron Ross,,Santa Cruz YC,6,1,6,13T,4
USA,8937,Tim Murphy,,none,4,6,3,13T,5
USA,8631,Paul Allen,,SCYC,5,5,4,14,6
USA,8829,Eben Russell,,none,9/DNF,9/DNF,9/DNS,27T,7
USA,7069,Christopher O'Leary,,BYC,9/DNF,9/DNF,9/DNF,27T,7
