Nation,Number,helm,crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,total,palce
USA,8808,Augie Diaz,Fritz Lanzinger,,1,DNF*,1,1,1,1,1,1,1,1,9,1
USA,0,Mike Holt,Dustin Romey,,4,5,2,3,4,7*,2,2,2,5,29,2
USA,8919,Parker Shinn,Doug McKeige,,3,2,5,2,2,4,3,6,8*,4,31,3
USA,8830,Mark Zagol,Drew Buttner,,2,7*,4,4,5,3,6,4,4,2,34,4
USA,8715,Ethan Bixby,Mike Coe,,7,1,6,8*,6,2,5,3,3,7,40,5
USA,0,Matt Barry,Tomas Barrows,,5,8,10*,6,3,5,4,5,5,6,47,6
USA,0,Macy Nelson,Jesse Falsone,,DNF*,3,7,10,8,8,9,7,6,3,61,7
USA,0,Zach Marks,Will Feder,,6,4,3,5,DNS*,12,7,9,12,13,71,8
USA,0,Lin Robson,Matthias Kennernecht,,9,9,8,7,7,9,10*,8,7,8,72,9
USA,0,Jim Englert,Brian Huntsman,,10,6,9,9,9,10,11*,10,10,10,83,10
USA,0,Bill Beardslee,John Dohan,,11,10,12,11,11,6,13*,12,11,11,95,11
USA,8441,Katrin Deinhardt,Olav Schlueter,,8,14,DNF*,15,14,14,8,11,9,9,102,12
USA,0,Bryan Richardson,Matt Schoene,,14,13,11,14,10,11,12,13,14,15*,112,13
USA,0,David Burchfiel,Andy Forman,,12,12,13,13,12,13,15*,14,13,14,116,14
USA,8939,John Wyles,Andreas Schlueter,,12,11,14,12,14,14,14,15*,15,12,118,15
