Nation,Sail No,Owner,Crew,,R1,R2,R3,R4,R5,R6,R7,Points,Points,Place
USA,8714,Mike Martin,Steve Bourdow,,1,4,1,3,1,1,46,57,11,1
USA,8266,Howard Hamlin,Peter Alarie,,3,1,2,1,3,4,1,15,11,2
USA,8680,Bruce Edwards,David Shelton,,2,5,3,2,4,2,4,22,17,3
USA,7201,Danny Thompson,Andy Zinn,,6,3,4,4,6,9,5,37,28,4
USA,7349,Mike Holt,Jay Kuncl,,4,6,6,7,7,6,3,39,29,5
USA,7873,Nick Adamson,Alan Norman,,7,46,5,5,11,3,7,84,38,6
USA,7875,Jeff Miller,Paul Allen,,10,8,9,8,5,12,2,54,42,7
USA,8631,Ryan Cox,Carl Smit,,9,9,8,6,9,7,6,54,45,8
CAN,8681,Robin Brown,John Fry,,5,2,7,10,8,46,17,95,49,9
USA,8627,Tim Collins,Bill Smith,,14,7,12,9,12,8,12,74,60,10
USA,8722,Macy Nelson,Michael Welch,,12,11,10,13,10,13,15,84,69,11
USA,8084,Colin Campbell,Rob Waterman,,8,19,15,46,13,14,8,123,77,12
USA,8554,Douglas Hagan,Stuart Park,,13,16,17,18,14,10,9,97,79,13
USA,8734,Ethan Bixby,Ali Meller,,20,15,20,11,17,11,11,105,85,14
USA,8012,Henry Amthor,Douglas Amthor,,21,12,13,15,26,15,16,118,92,15
USA,8643,Barney Harris,Jesse Falsone,,47,20,11,12,18,16,18,142,95,16
USA,7153,Chuck Asper,Alex Mehran,,18,46,14,17,19,18,10,142,96,17
USA,8024,David Chatham,Matt McQueen,,23,13,19,14,16,19,23,127,104,18
USA,7096,Brian  Largay,Matt Sanders,,19,46,18,16,15,22,14,150,104,19
USA,8013,Dave Smith,Rick Thompson,,15,27,16,46,22,17,21,164,118,20
USA,7771,Andy Beeckmin,Ben Benjamin,,11,10,46,46,2,5,47,167,120,21
USA,8731,Thad Lieb,Paul Kerner,,24,14,30,21,29,29,13,160,130,22
USA,8192,John Hayley,Winson Cummin,,16,23,23,46,23,27,19,177,131,23
USA,8610,Ted Ferrarone,J.B. Ferrarone,,22,22,25,22,24,23,24,162,137,24
USA,7774,Paul Tara,Phil Vandenburg,,27,18,21,20,31,25,27,169,138,25
USA,8593,Evert Meyer,Chris Hanke,,25,17,46,46,21,21,22,198,152,26
USA,8081,Joey Pasquali,Rory Giffen,,31,21,22,19,20,46,47,206,159,27
CAN,7353,Ian Plumbley,Tom Burnard,,17,46,27,46,25,31,25,217,171,28
USA,8085,Rene de La Rie,Allan Freedman,,28,28,28,46,46,24,20,220,174,29
USA,7877,Steve Anderes,Bruce Fleming,,34,24,31,46,30,30,26,221,175,30
CAN,7610,Cynthia DesBrisay,Charles Hansen,,46,25,24,46,28,25,28,222,176,31
USA,7773,Charlie Boukather,Jeff Nelson,,29,46,29,46,27,20,46,243,197,32
CAN,7095,Bailey White,Patrick Weaver,,26,26,34,46,32,46,36,246,200,33
USA,7613,Erik Cockburn,Phillip Ryan,,35,29,46,46,34,36,32,258,212,34
USA,8735,Dustin Romey,Karl Krauss,,38,30,46,46,35,33,31,259,213,35
USA,8559,Paul VonGrey,Peter Tuck,,30,46,32,46,46,34,33,267,221,36
USA,6983,Eric Willis,Wendy Herzberg,,47,47,35,46,37,28,29,269,222,37
USA,7156,Aaron Ross,Greg Sorrells,,32,31,46,46,33,46,34,268,222,38
USA,7876,Steven Leiberman,Joshua Leiberman,,37,46,46,46,38,32,35,280,234,39
USA,6991,Bill Jenkins,Dan Merino,,36,46,33,46,46,46,30,283,237,40
USA,8073,Catherine Viechnicki,Steven Long,,39,46,46,46,36,35,37,285,239,41
USA,7611,Craig Perez,Kevin Rey,,33,46,26,46,46,46,47,290,244,42
USA,7886,Dan Strellis,Kirstin Guinther,,46,46,46,46,46,46,38,314,268,43
USA,6227,Grant Murray,Ian West-Lewis,,46,46,46,46,46,46,47,323,276,44
USA,7318,Richard Peck,Allan C. Wilson,,46,46,46,46,46,46,47,323,276,45
