Sail,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Pos
GBR,8736,Ian Pinnell,Nick Powell,GWSC,2,7,1,1,2,6,1
GBR,8555,David Smithwhite,Neil Fulcher, ,3,2,2,3,3,"17,4",2
GBR,8481,Simon Payne,Bill Masterman,HISC,1,13,9,2,1,18,3
GER,8750,Wolfgang Hunger,Holger Jess,PYC,4,3,3,6,8,"31,1",4
GBR,8679,Hector Cisneros,Lawrence Crispin,STONE,11,6,8,5,4,"43,7",5
SWE,8232,Ebbe Rosén,Olle Wenrup,MALARHOJDENS KS,5,18,4,10,5,44,6
GER,8746,Stefan Böhm,Gerald Roos,SCV ERFSTADT,9,8,5,4,9,47,7
GBR,8432,Debbie Jarvis,Dan Johnson,GWSC,8,21,6,9,10,"56,7",8
GBR,8568,Charles Walters,Christian Diebitsch,GWSC,10,9,7,13,16,63,9
GBR,8752,Mike Holmes,Paul Young,GRIMSBY & CLEETHORPES,7,26,15,12,6,"63,7",10
GER,8590,Stefan Köchlin,Pit Hobusch,SKF,14,24,11,11,12,72,11
GBR,8701,Paul Lovesy,John Ironmonger,STOKES BAY,21,33,12,8,11,76,12
SWE,8719,Jakob Lindvall,Kalle Byrenius,NYNASHAMN SEGELSALLSKAP,24,16,10,14,20,84,13
GER,8751,Markus Mühlbauer,Angela Stenger,DTYC,18,1,24,26,28,86,14
GBR,8419,Stuart Turnbull,Jason Lunn,BURTON,19,DNS,13,18,14,88,15
GBR,8556,Terry Scutcher,Richard Tew,SHOTLEY,6,45,RTD,7,7,"88,7",16
GBR,8495,David Peacock,Chris Hewkin,BURTON,15,29,16,19,15,89,17
GBR,8694,Andy Williams,Andy Edmonds,PORTISHEAD,16,23,RTD,16,19,98,18
GBR,8489,John Webster,Eric Ironmonger,BURTON,20,42,20,17,17,98,19
GBR,8429,Robert Napier,Jonathan Rennie,HOUSE OF LORDS,27,5,19,38,25,99,20
GBR,8072,Richard Sims,Simon Wood,BURTON,22,15,17,DNS,22,100,21
GBR,8458,Jack Hayhurst,Adrian Coates,BURTON,26,4,RTD,35,27,104,22
GBR,8650,Terry Selfe,Alan Montague,STONE,30,10,22,27,21,104,23
GBR,8672,Miles Odell,Andrew Streeter,HISC,28,31,18,25,13,108,24
GBR,8676,Clive Robinson,Gary Cawthorne,BURTON,12,35,RTD,20,18,109,25
FRA,8541,Francis Doerenbecher,Aubin Doerenbecher,CIRCLE DE VOILE DE SCIEZ,23,34,14,24,42,119,26
FRA,8693,Pierre Soulier,François Cornu,YC CARNAC,44,12,28,31,29,125,27
GER,8609,Christian Müllejans,Eike Friedrich,SVWU,39,11,RTD,33,24,131,28
GBR,8745,Chris Pearson,Frank Rainsborough,QUEEN MARY,35,37,25,22,26,133,29
GBR,8685,Alex Jackson,Howard Breckell,SMYC,DNS,17,30,23,39,134,30
GBR,8705,Richard Lord,Simon Lake,GWSC,13,30,RTD,15,RTD,140,31
FRA,8353,Robert Fossard,Michel Bonnet,SN BANDOL,37,44,23,28,33,145,32
GBR,8526,Tim Bird,Andrew George,BURTON,40,25,32,29,34,145,33
FRA,8521,Jean-Louis Guibbal,Matthieu Guibbal,CLUB DE VOILE DE PARALOUP,29,51,21,21,DNS,146,34
GBR,8510,Andrew Thorp,Nick Thorp,SHOTLEY,41,20,33,34,37,149,35
GER,8539,Hendrik Schultz,Ute Ziems,ROYC,32,27,29,DNS,38,151,36
FRA,8748,Gilles Carvallo,Samuel Carvallo,CNHS,31,39,27,DNS,31,153,37
GBR,8493,Chris Dando,Donald Sloan,STONE,17,32,RTD,RTD,23,154,38
FRA,8704,Jean-Baptiste Dupont,Jean-Claude Ancelot,ANSE SARZEAU,42,28,26,39,36,154,39
GBR,8306,Chris Robinson,Tom Phillips,BURTON,43,14,RTD,36,40,156,40
GBR,8535,Francis Cram,Dougal Cram,HISC,DNS,DNS,RTD,32,35,158,41
GBR,8423,Martin Wright,Greg Young,BALA,45,19,35,37,DNS,160,42
GBR,8678,Jim Berry,Richard Berry,CHEW VALLEY LAKE,33,36,RTD,RTD,30,165,43
ZIM,8690,Patrick McCosh,Grant Chadwick,MAZOE,50,22,34,DNS,41,171,44
FRA,8603,Jean-Philippe Chartier,Alain Chartier,CLUB DE VOILE DE PARALOUP,46,40,31,RTD,44,184,45
GBR,8467,Chris Romans,Brenda Romans,PORTISHEAD,34,41,RTD,30,DNS,187,46
SWE,8033,Jan Thews,Kalle Thews,NYNASHAMN SEGELSALLSKAP,47,48,36,41,43,191,47
GBR,8474,Chris Thorne,Andy Tyas,PORTISHEAD,38,43,RTD,RTD,32,195,48
