Nation,Boat no,Helmsman,Crew,Club,Race,Race 2,Race 3,Points,Place
GER,9152,Dr. Wolfgang Hunger,Julien Kleiner,PYC,7,1,2,10,1
GER,9185,Stefan Böhm,Gerald Roos,SCV,4,3,3,10,2
GER,9121,Jan-Philipp Hofmann,Felix Brockerhoff,Düsseldorfer Yachtclub e.V.,3,8,4,15,3
USA,9084,Tyler Moore,Andrew Buttner,Hampton YC,6,2,9,17,4
GER,9070,Stefan Koechlin,Andreas Achterberg,SVS,1,21,5,27,5
GER,9198,Julian Stückl,Johannes Tellen,DTYC,2,9,11,22,6
FRA,9175,Philippe Boite,Mathieu Fountaine,CVSQ-SRR,12,16,1,29,7
GER,9182,Alexander Holzapfel,Finn Boeger,Post-Sportverein Koblenz,8,1,21,30,8
GER,9133,Frieder Achterberg,Wolfgang Stueckl,DTYC Deutscher Touring Yacht,5,17,15,37,9
USA,9153,Howard Hamlin,Jeff Nelson,ABYC / NHYC,11,18,8,37,10
AUS,9191,Malcolm Higgins,Nick Johnston,BSYC,9,20,1,30,11
USA,9208,Ted Conrads,Brian Haines,St Francis Yacht Club,1,13,17,31,12
GBR,9190,Jan Pinnel,Alex Davies,HISC,31,2,6,39,13
DEN,9181,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup Sejlklub,22,5,21,48,14
GBR,8963,Martin Hodgson,Adrian Miles,Stone Sailing Club,38,6,7,51,15
GER,9043,Mark Sadler,Richard Hutton-Squire,RCYC,26,14,14,54,16
CAN,9207,Robert Tennant,Steve Bourdow,RVicYC,15,11,34,60,17
DEN,9128,Henrik Buhl Buhl,Henrik Buhl Buhl,Hellerup Sejlklub,20,26,18,64,18
GBR,9177,Thomas Gillard,Harry Bridden,Sheffield Viking SC,29,21,16,66,19
SUI,9163,Florian Stauffer,Valery Jacot,CVN,17,25,26,68,20
SUI,9147,Caroline Jacot,Philippe Jacot,CNB,19,42,13,74,21
GER,9101,Timon Treichel,Morten Roos,DYC-SVWD,25,29,20,74,22
GER,90*,Nicola Birkner,Angela Stenger,VSaW,34,24,19,77,23
AUS,9134,Michael Quirk,Luke Payne,RPEYC,18,4,57 BFD,79,24
GER,8669,Nils-Henning Hofmann,Jan-Hendrik Lenz,DYC,28,28,23,79,25
GER,9090,Christian Kellner,Martin Schoeler,HSC-DCS,16,7,57 BFD,80,26
FIN,9193,Jukka Nieminen,Antti Salonen,SP,21,3,30,54,27
GER,9169,Tim Boeger,Markus Schoener,HSC,14,15,57 BFD,86,28
GBR,9126,Stuart Turnbull,Mike Priddle,Burton S C,36,30,24,90,29
GER,9040,Nørbert Dasenbrook,Sven Meier,KSW-SKBUe,35,19,37,91,30
SUI,8961,Toni Utiger,Markus Heilig,CVE,23,43,31,97,31
GER,9113,Joseph Schütte,Karsten Stuempel,Hamburger Segel Club,24,39,35,98,32
AUS,9204,Matthew Hansen,Shane Attwell,Fremantle sailing club,40,37,22,99,33
GER,9189,Hendrik Schultz,Claudius Zeiler,SCLW,33,34,33,100,34
GBR,9136,Stewart Mears,Richard Tucker,RCYC,42,32,28,102,35
GER,9130,Andreas Jungclaus,Johannes Kindermann,Hamburger Segel-Club - YCW,39,27,40,106,36
GER,9122,Nikoloaus Leonie,Northoff Kilian,Bayerischer Yacht Club,27,23,57 BFD,107,37
GER,9135,Jens Biederer,Thomas Wasilewski,HSC,49,35,27,111,38
FRA,9086,Elisabeth Neidhart,David de Monteil,ycif,31,38,43,112,39
GER,9171,Stefan Giesler,Frank Böhm,VSaW-SCV,30,57 UFD,29,116,40
AUS,9071,Richaes Hyde,Lindsay Gilbert,Sandgate Sailing Club,47,31,38,116,41
GER,8862,Robert Wisolek,Clemens Pirker,Segelclub Walchensee-SCLW,32,57 DNC,32,121,42
AUS,9028,Earle Alexander,John Mclean,Darling Point SS,44,36,41,121,43
GBR,9179,Tudor Owen,Tom Bruton,Whitstable yacht club,43,57 UFD,25,125,44
GBR,8745,Christoper Pearson,Paul Von Grey,RTYC-PVGYC,37,47,42,126,45
AUS,9110,Mark Stowell,Tony Forbes,Royal Freshwater Bay YC-Mazoe,45,41,44,130,46
SUI,9060,Catherine Houriet,Gil Donze,CRG,41,46,46,133,47
AUS,9205,Sam Cronin,David Johnson,Port Kembla S.C.-Balmoral S.C.,52,49,39,140,48
GER,9195,Dirk Penno,Nikolas Jägersberg,DTYC,48,44,48,140,49
GER,8929,Roger Pell,Byron Maverick,Royal Freshwater Yacht Club -,51,45,45,141,50
GER,9000,Thorsten Pösch,Moritz Lüther,Segelclub Salzgitter -GSC,46,40,57 BFD,143,51
GER,8672,Huetten Dirk,Guido Von Walter,SGR Riegsee-SCLW,50,48,50,148,52
GBR,9178,Jarrod Simpson,Nick Murray,Hayling island,57 DNF,57 DNF,36,150,53
GER,8990,Ralf Breitenfeldt,Thore Von Puttkamer,HSC,53,50,47,150,54
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,55,51,49,155,55
GBR,8867,Patrick Mcgale,Andrew Nolan,Queen mary sailing club,54,57 DNC,57 DNS,168,56
