Nation,Boat,Helm,Crew,Helm Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Crew Club,TOTAL,Plc
DEN,8566,Hans Jørgen Riber,Adam Malling,Skovshoved Sejlklub,1,4,2,9*,3,4,Hellerup Sejlklub,24.7,1
USA,8629,Tyler Moore,Scott Iklé,HYANNIS YC,9,10,1,12*,1,2,HYANNIS YC,34,2
USA,8266,Howard Hamlin,Mike Martin,NHYC,11,2,12,20*,2,3,ABYC,46.7,3
DEN,8656,Jørgen Schönherr,Jacob Bojsen Møller,KØGE,27*,6,11,4,10,1,Hellerup,52.7,4
DEN,8620,Rasmus Damsgaard,Søren Overbeck,HS,3,3,14*,6,6,12,HS,52.8,5
GBR,8552,Mark Upton-Brown,Ian Mitchell,HAYLING SC,2,15,8,5,7,26*,HISC,61,6
DEN,8082,Kim G. Christensen,Erik Ørsted,AARHUS YC,8,16*,10,1,9,14,Aarhus Yachtklub,65,7
USA,7200,Alexander Meller,Allan Johnson,W.RIVER SC,36*,9,7,15,5,6,WRSC,70.7,8
GBR,8624,Ian Pinnell,Ian Godfrey,NSC,6,12,27*,2,20,9,Hollinworth Lake S.C.,73.7,9
SWE,8232,Ebbe Rosen,Olle Wenrup,MKS,4,1,16,DNC*,32,5,MKS,78,10
DEN,8622,Tom Bøjland,Anders Friis,SES,18*,14,3,7,12,16,SES,78.7,11
DEN,8476,Jan Saugmann,Morten Ramsbæk,HILLEROD S,13,18,6,16,4,22*,Farum Amatør Sejlklub,84.7,12
GER,8550,Dietr. Sched.-Bieschin,Johan Arvedson,NRV,7,11,15,14,16,DNC*,ASC,93,13
USA,8191,Macy Nelson,Mike Mills,W.RIVER SC,14,5,22,17,46*,7,WRSC,94,14
SWE,7343,Kalle Nilsson,Johan Barne,GKSS,25,27*,26,3,8,8,GKSS,96.7,15
SWE,8619,Mikael Ahrbom,Claes Thurell,KSSS,20,7,17,22,31*,10,KSSS,106,16
GER,8570,Hans-Heinrich Rix,Insa Oldigs,CKA,39*,19,4,8,33,24,CKA,116,17
DEN,8330,Lars Espersen,Søren Rohde,RS,19,29*,20,19,21,13,Jyllinge Sejlklub,122,18
GER,8669,Tim Böger,Philip Christiani,HAMBURG SC,10,23,29,26,29*,15,,133,19
GBR,8429,Rob Napier,Kimball Morrison,H.LORDS YC,34,13,18,18,49*,20,Queen Mary Sailing Club,133,20
AUS,8638,Hugh Stodart,Matthew Owen,M.HARB. YC,29,25,21,DNC*,18,19,,142,21
USA,8660,Taylor Neff,Bill Smith,MIN. YC,24,17,32,DNC*,22,18,Hampton Yacht Club,143,22
SWE,8655,Krister Bergström,Thomas Moss,GKSS,5,8,5,DNC,13,DNC*,GKSS,145,23
DEN,8551,Jacob Ernst,Jesper Ernst,HELLERUP S,41,DNF*,28,10,15,25,Hellerup Sejlklub,149,24
DEN,8565,Anne Sophie Olsen,Carsten Petersen,AARHUS Y,30,38,13,21,38*,28,Aarhus Yachtklub,160,25
FRA,8484,Phillippe Blanchard,Alain Beltzung,AC D'A-LOR,33,31,37*,13,23,36,Aquatic Club DÁlsace-Lorraine,166,26
SUI,8426,Marcell Plüss,Yvo Durr,SVT,21,37,9,30,45*,40,SVT,167,27
AUS,8603,Ian Dunn,Carter Jackson,M.HARB. YC,35,22,35*,28,25,34,Middle Harbour Yacht Club,174,28
GER,8649,Ronald Roos,Stefan Boehm,SV WUP.,37,30,DNC*,24,34,21,SCVK,176,29
FRA,8452,Pierre Soulier,Bernard Peuch,YC CARNAC,32,21,36,25,36,44*,A.S.P.T.T. Rennes,180,30
GER,8376,Volker Niedick,Stefan Heising,BSV,26,32,33,23,41*,37,BSV,181,31
GBR,8378,Martin Hodgson,Paul Beasley,STONE SC,22,28,43,DNC*,27,33,Stone S.C.,183,32
GER,8560,Thore Michels,Andreas Schmidt,WSCW,16,33,40,DNC*,42,30,WSCW,191,33
GBR,8521,Paul Towers,Dan Johnson,BURTON S.C,15,26,30,DNC,14,DNC*,Burton S.C.,201,34
SWE,8427,Jan Eriksson,Kalle Byrenius,NSS,17,24,25,DNC,DNC*,29,NSS,211,35
FIN,7784,Thomas Held,Mike Laiho,NSK,28,20,38,DNC*,57,48,HSK,221,36
DEN,8144,Niels Alslev,Anders Pjetursson,FAS,40,43,41,33,54*,41,Farum Sejlklub,228,37
SUI,8346,Phillip Grob,Jürg Weber,SVT,43,39,42,29,53*,46,SVT,229,38
DEN,7934,Kristoffer Møllevang,Jakob Karbo,FAS,44,36,DNC*,27,51,45,F.A.S,233,39
DEN,8561,Peter Møller,Martin Thumle,NÆSTVED S,45,44,39,38,60*,52,FWK,248,40
GBR,8640,Vernon Ralston,Simon Spratt,THORPEB YC,38,34,DNC,DNC*,35,27,Half Way Yacht Club,250,41
USA,8494,Dave Cahn,Pip Pearson,SFYC,46,35,DNC*,36,59,49,Brighton and Seacliff Y. C.,255,42
FRA,8455,Marcel Buffet,Trouillet Damien,CDLV PARIS,DNC,DNC*,44,11,48,42,Cercle de da Voile de Paris,261,43
GER,8567,Jörg Detmold,Holger Neuhaus,CSC HATT.,DNC,41,DNC*,32,44,35,Segelclub Hattingen CSCH,268,44
GBR,8568,Christian Diebitsch,Peter Burwood,GRAFHAM SC,12,DNF,34,DNC,24,DNC*,Grafham Water Sailing Club,272,45
GBR,8556,Richard Tew,Simon Hiscooks,RYA,DNF,DNF,31,DNC*,19,23,Datchet,275,46
GER,8609,Christian Müelljans,Hartwig Friederichs,SV WUP.,23,DNF,24,DNC,30,DNC*,,279,47
DEN,8030,Thomas Rasmussen,Salka Nielsen,HS,48,46,DNF*,40,63,56,Hellerup Sejlklub,283,48
GBR,8510,Martin Wedge,Gordon Russen,RIVER B YC,DNC,40,DNC,DNC*,28,31,,301,49
GER,8642,Angela Stenger,Francisco San.-Petersen,SC MAINSP.,DSQ,45,DNC*,31,61,51,Deutscher Touring Club,304,50
GBR,8555,David Smithwhite,Rob Sutherland,FPOND SC,42,DNF,23,DNC,40,DNC*,Itchenor Sailing Club,307,51
GER,8634,Jörgen Thumann,Franco Weichel,TVS JORK,DNC,DNC,DNC,DNC*,11,11,Hamburg Segel Club,310,52
DEN,7524,Jon Andersen,Lasse Andreasen,REERSØ,DNC,49,DNC*,39,62,50,Reersø,316,53
FRA,8444,Christian Lippi,Lancelot Lippi,SR LEHAVRE,47,48,DNC,DSQ*,56,55,SR Le Havre,322,54
GER,8657,Martin Görge,Rainer Görge,DUESSELD.Y,DNC,DNC,DNC,DNC*,26,17,Düsseldorfer Yacht Club,331,55
GBR,8435,Patrick McGale,Tom Ward,Q.MARY SC,49,50,DNC,34,DNC,DNC*,Queen Mary S.C.,335,56
GBR,8474,Chris Thorne,Ben Benjamin,PORTISH.SC,DNC,42,DNC,DNC*,50,43,,337,57
DEN,7915,Christian Rask Madsen,Morten Rask Madsen,HELLERUP S,DNC,DNC,DNF*,35,58,53,,348,58
GBR,8532,Jim Berry,Richard Berry,PORTISH.SC,DNC,47,DNC,DNC*,52,47,Portishead,348,59
NZL,8391,Michael Nolan,Andrew Nolan,Q.MARY SC,DNC,DNC,DNC,37,DNC*,54,Queen Mary Sailing Club,379,60
BEL,8553,Poul Gorremans,Frederic Roucayrol,VVWA,DNC,DNC,DNC,DNC*,55,38,4 C Cagnes,381,61
