Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Place
DEN,8620,Jan Saugmann,Morten Ramsbæk,HiS,5,3,2,1,1,1,13,,1
GER,8875,Jens Findel,Johannes Tellen,KYC,3,1,1,2,2,2,11,,2
GER,8873,Boris Herrmann,Julien Kleiner,ZSK,6,2,3,3,3,6,23,,3
DEN,8826,Tom Bøjland,Jakob Karbo,Farum,2,4,5,4,6,4,25,,4
DEN,8656,Bo Pedersen,Henrik Buhl,Faborg,1,5,OCS 15,6,5,3,35,,5
SWE,8844,Jan Eriksson,Johan Arvedson,NSS,4,8,4,5,5,5,31,,6
SWE,8581,Andreas Carlsson,Kalle Nilsson,GKSS,11,6,9,7,8,8,49,,7
DEN,8494,Jesper Legin Larsen,Allan Andreasen,Polytek,8,7,6,8,11,9,49,,8
DEN,8601,Jonas Christiansen,Mikkel Bardram,,12,9,7,9,9,10,56,,9
SWE,8787,Lars Bjerke,Tore Reimold,BKSS,10,11,8,10,7,DNF 15,61,,10
SWE,8232,Ebbe Rosen,Olle Wenrup,Mai Arhojd,7,DSQ 15,DSQ 15,DSQ 15,4,7,63,,11
DEN,8416,Gabriel Schønau Hansen,Johnny Rodholm,HSC,9,10,10,DNF 15,10,11,65,,12
SWE,8146,Peter Tjernström,Ola Rammnäs,GKSS,13,DNF 15,11,DNF 15,DNF 15,12,81,,13
SWE,8859,Peter Fogelberg,Matthias Behnke,HYC,14,12,DNC 15,DNC 15,DNC 15,DNC 15,86,,14
