Båt,Besättning,,,Klubb,1,2,3,4,5,6,Tot,#
SWE,8655,Krister Bergström,Thomas Moss,GKSS,DSQ*,1,1,1,2,1,6,1
SWE,8232,Ebbe Rosén,Olle Wenrup,MKS,1,2,3,2,1,5*,9,2
SWE,8719,Jakob Lindvall,Kalle Byrenius,NHSS,2,3,2,5*,3,2,12,3
DEN,8551,Jacob Ernst,Jesper Ernst,HRBK,3,6,6*,3,4,4,20,4
SWE,8585,Jan Eriksson,Magnus Molin,NHSS,5,4,4,6*,5,3,21,5
DEN,8476,Per Larsen,Jacob Karbo,FARBK,4,5,5,4,6,DNF*,24,6
SWE,8033,Jan Thews,Kalle Thews,NHSS,6,7,7,7,7*,6,33,7
SWE,6718,Jonas Eriksson,Göran Dahlberg,VJS,DNS,DNS,DNS,DNF,8,DNF*,44,8
