,Nr,Sternik,Załogant,Klub,R1,R2,R3,R4,R5,R6,R7,Nazwa,Suma,Pkt,M
POL,9255,Michał Strusiński,Bartosz Milewski,Port Mechelinki,[1],1,1,1,1,1,1,Champion Color Racing,7,6,1
POL,9119,Mateusz Jura,Bartek Chroł,PSK505,[3],2,2,2,3,2,2,,16,13,2
POL,9223,Łukasz Maksymowicz,Paweł Choroba,Sailing Legia/KŻ Horn Kraków,2,3,5,4,5,[12],4,,35,23,3
POL,9132,Przemek Zagórski,Michał Olko,Yacht Klub Stal Gdynia,4,4,8,7,[10],3,3,White Wood Sailing Team,39,29,4
POL,9135,Dariusz Konopczak,Paweł Henszke,KS Centrum Żeglarskie Szczecin,6,5,3,5,4,7,[9],,39,30,5
POL,8751,Paweł Kluczyński,Teofil Nowak,OŚ AZS Poznań,[10],10,4,3,7,6,5,,45,35,6
POL,8736,Adam Kuczyński,Andrzej Borowiak,KŻ Zbąszyń PSK505,9,[11],7,10,2,4,6,NajazdySamochodowe.pl,49,38,7
POL,9140,Dominik Ostrowski,Maciej Goździk,SWOS Warszawa,5,7,[OCS 18],6,6,8,7,,57,39,8
POL,8665,Marcin Panek,Jakub Grabowski,PSK505/JK Krynica Morska,7,9,6,8,8,5,[10],,53,43,9
POL,8875,Mariusz Michalski,Piotr Duma,JKM Neptun/Yacht Klub Stal Gdynia,11,6,9,9,[12],11,12,,70,58,10
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,Yacht Klub Stal Gdynia,8,8,12,12,[13],10,8,,71,58,11
POL,8769,Michał Ruciński,Łukasz Paszko,77 Racing Club Gdańsk,13,12,10,11,9,9,[14],Mipro,78,64,12
POL,8493,Mieczysław Szwed,Iwo Gogołkiewicz,KS Centrum Żeglarskie Szczecin,12,13,13,[14],14,13,13,,92,78,13
POL,8909,Michał Kępski,Maksymilian Zaniewski,RKS Lasery Zegrze,14,14,11,13,[15],14,15,,96,81,14
POL,8906,Tomasz Polikowski,Adam Najmowicz,Yacht Klub Stal Gdynia,[16],15,14,16,11,16,11,ITO Solutions,99,83,15
POL,8028,Anna Zabłocka,Jedrzej Bering,CŻ Szczecin,[17],16,15,15,16,15,16,,110,93,16
POL,8359,Jakub Kupś,Konrad Kohut,Yacht Klub Stal Gdynia,15,[DNF 18],16,17,17,DNF 18,17,,118,100,17
