Kraj,Nr,Załoga,Klub,R1,R2,R3,R4,R5,R6,R7,Nazwa,Suma,Pkt,M,
POL,9255,Michał Strusiński,Mateusz Byrski,Port Mechelinki,2*,1,1,1,1,1,1,Champion Color Racing,8,6,1
POL,9140,Dominik Ostrowski,Maciej Goździk,SWOS Warszawa,1,3,4*,2,2,3,2,Mr Wolf,17,13,2
POL,9119,Krzysztof Kluza,Paweł Choroba,ŻLKS Poznań/KŻ Horn Kraków,3,2,2,4,7*,2,3,krzysztofkluza.pl,23,16,3
POL,9135,Dariusz Konopczak,Paweł Henszke,KS Centrum Żeglarskie Szczecin,4,7*,3,3,3,5,6,,31,24,4
POL,8875,Mariusz Michalski,Piotr Duma,JKM Neptun/Yacht Klub Stal Gdynia,7,6,7,5,5,8*,4,,42,34,5
POL,8751,Paweł Kluczyński,Teofil Nowak,OŚ AZS Poznań,5,4,12 DNF*,12 DNS,4,4,7,,48,36,6
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,Yacht Klub Stal Gdynia,8,5,6,12 DNF*,8,6,5,Blade Runner,50,38,7
POL,8736,Mateusz Jura,Andrzej Borowiak,ŻLKS Poznań,6,9*,5,6,6,9,9,Najazdy Samochodowe,50,41,8
POL,9110,Anna Zabłocka,Stefan Romanik,KS Centrum Żeglarskie Szczecin KS Spójnia Warszawa,11*,8,8,7,10,7,8,,59,48,9
POL,8493,Michał Goździak,Franciszek Popiela,,9,12 DNF*,9,12 DNF,9,10,10,,71,59,10
POL,8359,Michał Maciaszczyk,Jędrzej Bering,KS Centrum Żeglarskie Szczecin,10,12 DNF*,12 DNF,12 DNF,12 DNS,12 DNS,12 DNS,,82,70,11
