Nat,SailNo,Helm,Crew,Club,R1,R2,R3,,R4,R5,R6,Score,Rank
POL,8690,Jakub Pawluk,Paweł Choroba,SAILING LEGIA,2,1,[13 UFD],,3,1,1,8,1
POL,9255,Michał Strusiński,Mateusz Byrski,CHAMPION COLOR RACING,1,[3],1,,2,2,3,9,2
POL,8736,Jan Sibilski,Andrzej Borowiak,ŻLKS POZNAŃ,[3],2,2,,1,3,2,10,3
POL,9140,Dominik Ostrowski,Maciej Goździk,SWOS WARSZAWA,4,4,3,,4,4,[5],19,4
POL,8665,Anna Zabłocka,Jakub Grabowski,KLUB SPORTOWY CENTRUM ŻEGLARSKIE,[6],6,6,,5,5,4,26,5
POL,8751,Paweł Kluczyński,Teofil Nowak,OŚ AZS POZNAŃ,5,5,4,,6,7,[8],27,6
POL,8875,Mariusz Michalski,Piotr Duma,GDAŃSK MICHALSKI,[8],7,5,,8,6,7,33,7
POL,8656,Jarema Drogowski,Stefan Romanik,SPÓJNIA WARSZAWA,9,9,7,,10,9,[11],44,8
POL,8906,Tomasz Polikowski,Adam Najmowicz,STAL GDYNIA,[13 DNC],13 DNC,13 DNC,,7,8,6,47,9
POL,8909,Michał Kępski,Maksymilian Zaniewski,RKS LASERY ZEGRZE,7,8,[13 DNF],,13 OCS,10,12,50,10
POL,9020,Justyna Bunar,Anna Smela,PUCHAR SOLINY,[13 DNC],13 DNC,13 DNC,,9,11,9,55,11
POL,8212,Jacek Terpiłowski,Michał Kozuba,PSK505,[13 DNF],13 DNF,13 DNC,,11,12,10,59,12
