Kraj,Nr,Załoga,,Klub,R1,R2,R3,R4,R5,R6,R7,Nazwa,Suma,Pkt,M
POL,8736,Jan Sibilski,Andrzej Borowiak,ŻLKS Poznań,1,3,1,2,1,3,[7],Najazdy Samochodowe,18,11,1
POL,9170,Karol Milewski,Bartosz Milewski,Yacht Klub/Stal Gdynia,3,2,DPI 2.6,[DPI 3.9],2,1,1,,15.50,11.60,2
POL,9255,Michał Strusiński,Mateusz Byrski,Port Mechelinki,2,1,3,1,4,[DNF 16],2,Champion Color Racing,29,13,3
POL,9132,Dominik Ostrowski,Michał Olko,SWOS Warszawa/Yacht Klub Stal Gdynia,4,5,6,5,[9],2,3,White Wood Sailing Team,34,25,4
POL,8751,Paweł Kluczyński,Teofil Nowak,OŚ AZS Poznań,7,4,5,7,3,6,[8],,40,32,5
POL,8906,Łukasz Maksymowicz,Adam Najmowicz,Sailing Legia/Yacht Klub Stal Gdynia,9,6,9,[10],6,5,4,,49,39,6
POL,8875,Piotr Duma,Mariusz Michalski,JKM Neptun/Yacht Klub Stal Gdynia,8,8,[11],6,7,8,5,,53,42,7
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,Yacht Klub Stal Gdynia,6,7,7,9,[10],9,6,,54,44,8
POL,8909,Michał Kępski,Maksymilian Zaniewski,RKS Lasery Zegrze,[11],11,8,8,5,7,9,,59,48,9
POL,8665,Marcin Panek,Jakub Grabowski,PSK505,5,10,4,4,[DNC 16],DNF 16,DNS 16,,71,55,10
POL,8359,Jakub Kupś,Michał Włodarczak,Yacht Klub Stal Gdynia,13,12,13,[DNS 16],11,4,10,,79,63,11
POL,8656,Jarema Drogowski,Stefan Romanik,KS Spójnia Warszawa,[OCS],14,10,12,8,10,11,,81,65,12
POL,9020,Justyna Bunar,Michał Prończuk,Puchar Soliny,12,[13],12,11,12,11,12,SoLinOVE,83,70,13
POL,8028,Anna Zabłocka,Jędrzej Bering,KS Centrum Żeglarskie Szczecin,10,9,[DNF 16],DNS 16,DNC 16,DNF 16,DNS 16,,99,83,14
POL,8212,Jacek Terpiłowski,Marcin Kozuba,,14,15,14,13,[DNF 16],DNF 16,DNS 16,,104,88,15
