Kraj,Nr,Sternik,Załogant,Klub,R1,R2,R3,R4,R5,R6,R7,R8,Nazwa,Suma,Pkt,M
POL,9255,Michał Strusiński,Mateusz Byrski,Port Mechelinki,UFD*,1,1,2,3,3,1,8,Champion Color Racing,43,19,1
POL,8736,Jan Sibilski,Andrzej Borowiak,ŻLKS Poznań,4,4,3,5,2,1,3,11*,Najazdy Samochodowe,33,22,2
POL,9233,Ania Weinzieher,Paweł Choroba,UKŻ Wiking Toruń KŻ Horn Kraków,3,5,5,6,6,2,7*,3,,37,30,3
POL,9140,Dominik Ostrowski,Maciej Goździk,SWOS Warszawa,6,3,4,7*,4,5,4,6,Mr Wolf,39,32,4
POL,9134,Jakub Pawluk,Marcin Józefowski,Sailing Legia,2,9,16*,3,5,7,5,2,Legia Warszawa,49,33,5
POL,9170,Karol Milewski,Bartosz Milewski,Yacht Klub Stal Gdynia,5,8,9,4,12*,4,11,9,,62,50,6
POL,9132,Przemek Zagórski,Michał Olko,Yacht Klub Stal Gdynia,7,6,6,8,7,UFD*,6,16,White Wood Sailing Team,80,56,7
POL,8665,Marcin Panek,Jakub Grabowski,,9,7,12*,12,9,8,9,7,,73,61,8
POL,8751,Paweł Kluczyński,Teofil Nowak,OŚ AZS Poznań,10,10,8,10,8,9,13*,12,,80,67,9
POL,8747,Anna Jabłońska,Andrzej Zdrojek,,12,11,7,14*,13,10,12,5,,84,70,10
POL,8769,Michał Ruciński,Łukasz Paszko,,8,13,10,11,11,14,14,17*,Fi Boatworks,98,81,11
POL,8875,Mariusz Michalski,Piotr Duma,Yacht Klub Stal Gdynia,16,16,18*,16,10,6,15,4,,101,83,12
POL,8909,Michał Kępski,Maksymilian Zaniewski,RKS Lasery Zegrze,15,14,11,9,15,13,17,UFD*,,118,94,13
POL,8770,Jakub Gąsiorowski,Bartosz Makała,Yacht Klub Stal Gdynia,13,17,15,18*,14,15,8,13,,113,95,14
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,Yacht Klub Stal Gdynia,14,18*,13,15,16,11,16,14,,117,99,15
POL,8812,Anna Zabłocka,Jędrzej Bering,KS Centrum Żeglarskie Szczecin,21,15,UFD*,13,17,12,18,10,∆,130,106,16
POL,8656,Tobiasz Zajączkowski,Stefan Romanik,KS Spójnia Warszawa,11,12,14,17,20*,18,19,15,www.WypozyczalniaAtrakcji.pl,126,106,17
POL,8906,Tomasz Polikowski,Adam Najmowicz,Yacht Klub Stal Gdynia,19,19,21*,19,18,16,10,18,ITO Solutions,140,119,18
POL,8690,Karolina Skowrońska,Anna Śliwka,Sailing Legia,18,21,19,22*,19,17,20,19,Monsoon,155,133,19
POL,8359,Jakub Kupś,Michał Włodarczak,Yacht Klub Stal Gdynia,20,20,17,20,21,19,22,DNF*,,163,139,20
POL,9020,Justyna Bunar,Anna Smela,Stowarzyszenie Puchar Soliny,17,22,20,21,22,20,21,DNF*,SoLinOVE,167,143,21
POL,8634,Kacper Kaczmarek,Michał Prończuk,OŚ AZS Poznań,DNC*,DNC,DNC,DNC,DNC,DNC,DNC,DNC,Żywiec,192,168,22
