Country,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Name,Suma,Netto,Place
POL,8736,Jan Sibilski,Andrzej Borowiak,ŻLKS Poznań,2,2,1,3,[7],4,1,Najazdy Samochodowe,20,13,1
POL,9132,Przemek Zagórski,Michał Olko,Yacht Klub Stal Gdynia,3,4,3,2,2,[5],2,White Wood Sailing Team,21,16,2
POL,9119,Mateusz Jura,Bartek Chroł,,5,6,2,[9],1,2,6,,31,22,3
POL,9255,Michał Strusiński,Jan Siekierzyński,,1,1,4,6,4,9,[OCS 21],Champion Color Racing,46,25,4
POL,9170,Karol Milewski,Bartosz Milewski,Yacht Klub Stal Gdynia,4,3,[DSQ 21],1,3,1,OCS 21,,54,33,5
POL,9135,Dariusz Konopczak,Paweł Henszke,KS Centrum Żeglarskie Szczecin,6,9,9,5,[10],3,3,,45,35,6
POL,9140,Dominik Ostrowski,Maciej Goździk,SWOS Warszawa,8,[10],6,4,5,8,5,,46,36,7
POL,8665,Marcin Panek,Jakub Grabowski,PSK505,[13],5,7,7,11,7,4,,54,41,8
POL,8875,Mariusz Michalski,Piotr Duma,JKM Neptun/Yacht Klub Stal Gdynia,7,[14],8,8,9,12,8,,66,52,9
POL,8751,Paweł Kluczyński,Teofil Nowak,OŚ AZS Poznań,10,[OCS 21],5,10,6,6,OCS 21,,79,58,10
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,Yacht Klub Stal Gdynia,9,8,11,[12],8,11,11,,70,58,11
POL,8028,Anna Zabłocka,Jędrzej Bering,KS Centrum Żeglarskie Szczecin,12,[13],10,13,13,10,7,,78,65,12
POL,8909,Michał Kępski,Maksymilian Zaniewski,RKS Lasery Zegrze,[14],7,13,11,12,13,10,,80,66,13
POL,8493,Mieczysław Szwed,Iwo Gogołkiewicz,KS Centrum Żeglarskie Szczecin,11,[OCS 21],12,15,16,14,13,505,102,81,14
POL,8906,Tomasz Polikowski,Adam Najmowicz,Yacht Klub Stal Gdynia,15,15,15,14,14,[16],9,ITO Solutions,98,82,15
POL,8359,Jakub Kupś,Michał Włodarczak,Yacht Klub Stal Gdynia,16,12,14,[18],15,15,16,,106,88,16
POL,8212,Jacek Terpiłowski,Marcin Kozuba,,[17],11,17,17,17,17,12,,108,91,17
POL,9020,Justyna Bunar,Anna Smela,,[DNF 21],DNS 21,16,16,18,18,15,SoLinOVE,125,104,18
POL,8656,Jarema Drogowski,Stefan Romanik,KS Spójnia Warszawa,[DNS 21],DNS 21,DNS 21,DNS 21,DNS 21,DNS 21,14,Rondar,140,119,19
