SAIL,#,Helm,Crew,Helm Club,Race 1,Race 2,Race 3,Race 4,Race 5,SPONSOR/BOAT,Crew Club,CAT,TOTAL points,NET points,Position
GBR,9215,Roger Gilbert,Ian Mitchell,Hayling Island Sailing Club,1,2,1,4,[6],HARKEN,Hayling Island Sailing Club,Open,14,8,1
GER,9251,Jan-Philipp Hofmann,Felix Björn Brockerhoff,DYC,3,1,[4],3,1,,DYC,Open,12,8,2
USA,9262,Howard Hamlin,Andrew Zinn,NHYC-ABYC,4,8,[14],1,2,,NHYC,Sr M,29,15,3
USA,9266,Mike Holt,Rob Woelfel,Santa Cruz,6,3,7,[10],3,ADBLUE,Santa Cruz,Open,29,19,4
GBR,9274,Paul Brotherton,James Fawcett,Etherow Country Park Sailing Club,5,6,2,8,[13],OYA,Hayling Island Sailing Club,Open,34,21,5
AUS,9263,Michael Quirk,Tim Needham,CNCB,2,9,9,6,[DNC 59],,CNCB,Open,85,26,6
USA,9247,Mike Punnett,Rich Mundell,PCYC,10,[26],6,11,5,CAROLE'S BOAT,PCYC,Sr M,58,32,7
AUS,9269,Mark Stowell,Jake Bessen,,11,7,[DNC 59],7,7,JET PILOT,,Open,91,32,8
GBR,9039,Ben McGrane,James Ross,Netley Sailing Club,[21],15,11,2,15,BEASTLY FIZZER,Netley Sailing Club,Open,64,43,9
GBR,9229,Michael Wilson,Stu Bithell,Isle Of Man Yacht Club,17,[18],3,15,12,SHOTGUNN,Parkstone Yacht Club,Open,65,47,10
GER,9198,Michael Daisenberger,Johannes Tellen,DTYC,18,4,22,[30],4,,MYC,Open,78,48,11
GBR,9238,Ian Pinnell,Charles Dwyer,HISC,12,[16],10,16,11,,Royal Cork YC,Open,65,49,12
GER,9185,Stefan Böhm,Gerald Roos,SCV,15,22,5,14,[DNC 59],,RCR,Sr M,115,56,13
FRA,9270,Philippe Boite,Thimothé Chiron,CVSQ,23,11,13,[25],10,,ESPAR,Open,82,57,14
GER,8992,Lutz Stengel,Frank Feller,RoYC,25,5,17,12,[DNC 59],FIRLEFANZ,RoYC,Open,118,59,15
GER,9260,Tim Böger,Finn Böger,HSC,[22],19,15,17,8,FLETEC.IO,VSaW,Open,81,59,16
AUS,9190,Christopher Paterson,Conall Hansford,Fremantle SC,[34],13,25,5,18,EASY TIGER,Fremantle SC,Open,95,61,17
FRA,9220,Alexandre Boite,Marin Carnot,SRH,20,14,16,13,[22],,cvsq,Open,85,63,18
GBR,8935,Craig Burlton,Richard Anderton,Hayling Island Sailing Club,29,10,8,18,[32],,Chichester Yacht Club,Open,97,65,19
