Nat,Sail No.,Skipper,Crew,Yacht Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Total,Nett,Rank
USA,9262,Howard Hamlin,Jeff Nelson,NHYC-ABYC,[13],1,1,3,5,1,1,1,1,3,1,[36 DNC],67,18,1
USA,9106,Mike Martin,Adam Lowry,StFYC,2,3,[10],[9],3,2,2,2,4,1,6,3,47,28,2
USA,9072,Mike Holt,Carl Smit,SCYC,6,2,[8],1,[7],4,3,3,6,5,3,2,50,35,3
USA,9248,Nic Baird,Eric Anderson,St.FYC,3,[10],3,2,6,8,5,4,[9],4,5,1,60,41,4
USA,9252,Douglas Hagan,Arne Wittemer,PCYC,5,8,2,[10],1,3,[12],8,2,7,8,7,73,51,5
USA,9250,John Turney,Brendan Heussler,CYC,4,7,6,8,4,[18],7,[9],3,6,4,4,80,53,6
USA,8576,Mike Punnett,Rich Mundell,PCYC,8,4,[11],6,2,5,11,6,10,[14],7,8,92,67,7
USA,8808,Augie Diaz,Bobby Starck,BBYC,1,5,7,12,8,7,4,11,[22],[19],10,18,124,83,8
USA,8786,Luke Ingalls,John Ingalls,SYC,11,11,9,4,[25],6,13,7,11,[18],9,5,129,86,9
USA,8854,Craig Thompson,Adam Wolnikowski,Unafilliated,16,[23],[18],7,10,9,6,13,13,10,13,6,144,103,10
USA,8856,Ethan Bixby,Ted Huebner,SPSC,10,6,16,13,[20],11,[18],12,5,17,2,14,144,106,11
CAN,8467,Jeff Boyd,Danielle Boyd,KYC,[26],12,5,11,13,[17],15,5,12,12,14,13,155,112,12
USA,8930,Duane Delfosse,Mike Hull,LSYC,[20],17,14,20,[24],15,8,10,7,2,11,10,158,114,13
IRL,8987,Peter Scannell,John Dunlea,MBSC,18,18,4,5,18,12,9,[36 DNC],8,13,[21],11,173,116,14
USA,8937,Tim Murphy,Gavin Murphy,SCYC,15,16,12,17,11,16,16,14,17,[20],16,[23],193,150,15
CAN,8841,Ali Meller,Devlin Lovshin,KYC,[23],13,15,16,[26],13,19,17,20,8,18,22,210,161,16
CAN,8821,Luke Strickland,Christian Voyer,NSC,7,14,13,14,9,[27],27,25,15,16,24,[36 RET],227,164,17
USA,9005,Thomas Kivney,Gordon Russell,HYC,14,21,[25],15,12,20,14,19,[36 DNC],21,20,9,226,165,18
CAN,9042,Chris Tattersall,Bruce Clifford,MSC,9,26,[29],[29],14,22,10,20,24,11,12,19,225,167,19
USA,9095,Macy Nelson,Steen Byskov,WRSC,22,15,17,22,15,[25],23,16,18,15,[26],25,239,188,20
USA,9116,Jimmy Franzone,Bjorn Antell,StFYC,[29],9,22,25,21,26,[29],15,14,28,17,12,247,189,21
CAN,8696,Deborah Ashby,David Adams,NSC,12,19,19,18,22,21,20,18,[27],[30],19,21,246,189,22
USA,9172,Paul Scoffin,Jason Breeden,NYCSD,[28],20,27,19,17,14,17,24,23,[36 RET],15,16,256,192,23
CAN,8866,Cynthia Des Brisay,Charles Hansen,KitsilanoYC,17,25,20,21,16,10,22,23,21,[26],[28],20,249,195,24
USA,8643,Barney Harris,Tony Zakrajsek,PRSA & OHCC,19,24,21,26,[36 RET],19,21,[36 DNC],16,25,22,15,280,208,25
CAN,8600,Marie Gendron,David Browne,NSC,21,[36 DNS],[36 DNC],24,31,31,24,21,26,9,25,17,301,229,26
CAN,9186,Shona Moss Lovshin,Stephen Lovshin,NSC,24,[28],24,27,19,[29],25,22,19,23,27,24,291,234,27
CAN,8410,Malcolm MacGillivray,Kyber Lovshin,BYC /NSC,27,22,23,23,23,28,28,26,28,24,[30],[29],311,252,28
CAN,8442,Thomas Adolph,Stephen Adolph,NSC,25,[31],26,[34],29,24,30,28,29,22,31,28,337,272,29
CAN,8587,Paul Place,Rae-Anne Norwood,NSC,30,29,31,28,28,[32],[32],27,25,27,29,26,344,280,30
CAN,9138,Marek Balinski,Alex Taylor,OHCC,32,27,28,32,27,23,26,[36 DNC],[36 DNC],36 DNC,23,27,353,281,31
CAN,8753,Conor Morrison,Drake Morrison,OHCC,[35],[34],30,30,30,33,33,29,30,29,32,30,375,306,32
CAN,7776,James Clarke,Rob Voyer,NSC,31,[33],[34],33,32,30,31,30,32,31,33,31,381,314,33
CAN,8951,Finn Abush,Joshua Abush,EYC,34,30,32,[35],33,34,34,32,33,32,[35],32,396,326,34
CAN,7605,Adam Gesing,Perryn Bennett,KYC,33,32,33,31,34,[35],35,31,31,[36 RET],34,33,398,327,35
