Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Points,Place
FRA,8716,Martin Aline,Dehauffour Anais,YCIF,-2,2,2,1,1,1,9,7,1
FRA,8870,Sylvestre Ch,Auberger N.,YCIF,1,-3,3,2,3,3,15,12,2
FRA,9075,Boite Ph.,Gasquet Ar.,CVSQ,3,1,1,-10,4,4,23,13,3
FRA,8820,Di Pede Thibault,Toupet Fabrice,CV Seine-Port,-9,5,5,6,2,2,29,20,4
BEL,8949,Crets Cedric,Lambert Lionel,RCNV,5,4,-9,3,6,7,34,25,5
FRA,9086,Neidhart Elisabeth,Gougeon Matthieu,CVML,8,6,7,-13,7,6,47,34,6
FRA,8954,Agrapart M.,Agrapart F.,CNHS,4,-11,11,9,8,5,48,37,7
FRA,9076,Des Jammieres Bertrand,Des Jammieres Nicolas,SNP H,10,9,6,4,11,-12,52,40,8
FRA,9081,Blanchard Philippe,Duplouy Florent,ACAL,7,8,-13,5,9,11,53,40,9
FRA,8729,Lafortune Jordane,Delagrange Antoine,CVSQ,11,7,4,-15,14,8,59,44,10
BEL,8420,Van Assche Bas,Van Assche Toon,VVVV Kelchteren,-13,10,8,11,5,10,57,44,11
FRA,9099,Karadjan Alain,Joly Laure,ANSQ,6,15,12,12,12,(20 DNS),77,57,12
BEL,9064,Didier Trine,Vandersteen Philippe,SNEH,14,13,10,8,13,(20 DNF),78,58,13
BEL,8700,Colette Claude,Dobbelstein Xavier,RCNV,-18,16,15,7,15,9,80,62,14
BEL,8844,Frank Boonen,Ronald Vanthoor,NLM,16,-18,18,17,10,14,93,75,15
BEL,8543,Mineur Alain,Boucau Fabienne,SNEH,-17,14,14,14,17,16,92,75,16
FRA,9033,Hue Patrice,Ancelot Jean-Claude,NDCA,12,12,16,16,(20 DNS),20 DNS,96,76,17
BEL,8521,Vervecken Gert,Hermans Alexander,NLM,15,17,17,-18,16,13,96,78,18
BEL,8508,Georges Roger,Montrieux Pierre,RCNV,-19,19,19,19,18,15,109,90,19
