Sailno,Name,Scores,club,1,2,3,4,5,6,7,8,9,10,11,suma,No
DEN 9118,Jan Sauqmann,Jakob Karbo,Hellerup Team Poise,1*,1*,1,1,1,1,1,1,1,1,1,9,1
POL 9119,Tymon Sadowski,Łukasz Skrzycki,YK Stal Gdynia Narwal Sails,4,OCS*,2,8*,2,5,2,2,2,4,3,26,2
POL 8437,Szymon Wierzbicki,Kacper Kaczmarek,SKZ Sopot/AZS Poznan,5,7*,5,5,8*,2,3,3,3,2,2,30,3
POL 505,Jakub Pawluk,Marcin Józefowski,Rainmaker Yacht Club/K.S. Spojnia Warszawa Henri Lloyd Racing,2,4,4,2,3,4,4,6*,4,6*,5,32,4
POL 8909,Karol Milewski,Bartosz Milewski,YK Stal Gdynia Hermes Sailing,3,3,6,7,4,DNS*,7,9*,5,3,7,45,5
GER 9141,Konrad Otto,Martin Lietz,SG Seeburg Segel e.V./Fercher,10,2,10,4,7,3,5,12*,DNS*,9,8,58,6
POL 8802,Mateusz Jura,Bartosz Chroł,AZS SGH Rexona Sailing Team,OCS*,6,7,10,6,8,DNS*,4,8,5,9,63,7
POL 8736,Adam Kuczyński,Andrzej Borowiak,ZMKS Poznan Budzko Team,7,5,14,6,5,DSQ*,DNS*,5,13,7,4,66,8
POL 8665,Marcin Panek,Przemysław Rzepecki,YK Stal Gdynia,9,9,8,DNS*,10,6,12,DNS*,7,10,6,77,9
POL 7942,Mieczysław Szwed,Jacek Szwed,Centrum Zeglarskie Szczecin,11,8,11,11,12*,12,9,10,12,11,DNS*,95,10
POL 8358,Anna Jabłońska,Patryk Witkowski,MKS Dwojka Warszawa KPMG Sailing Team,12,10,9,9,11,7,8,8,DNS*,DNS*,DNS,99,11
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal Gdynia,6,11,13,12,18*,16*,13,11,10,12,12,100,12
POL 8208,Dominik Ostrowski,Adam Kominek,MKS Dwojka Warszawa,14,DNS*,DNS*,DNS,15,13,10,14,9,8,10,118,13
GER 9057,Przemek Zagórski,Paweł Prus,YK Stal GdyniaNKP Warszawa,8,DNS*,3,3,9,15,DNS*,DNS,6,DNS,DNS,119,14
POL 8217,Jakub Kręciwilk,Wojciech Denderski,,13,12,12,14,DNS*,14,DNS*,DNS,11,13,DNS,139,15
POL 8656,Emanuela Bartkowiak,Mateusz Wolszczak,YK Stal Gdynia,DNS*,14,15,13,16,10,11,13,DNS*,DNS,DNS,142,16
POL 8751,Krzysztof Osiak,Marcin Jaskółka,PSK 505,DNS*,DNS*,16,DNS,14,11,DNS,DNS,14,14,11,155,17
POL 9132,Michał Korneszczuk,Michał Olko,UK Stal Gdynia,DNS*,DNS*,DNS,DNS,13,9,6,7,OCS,DNS,DNS,160,18
GER 8057,Piotr Rzezak,Aleksandra Mruk,Jacht Klub Kamien Pomorski rybyzubowicz.pl,15,13,DNS*,DNS*,20,17,DNS,15,DNS,DNS,DNS,180,19
POL 9015,Mateusz Żolnierkiewicz,Igor Graczyk,LOK Poznan,DNS*,15,DNS*,DNS,17,DNS,DNS,DNS,15,DNS,DNS,197,20
POL 8416,Marcin Matla,Grzegorz Tomaszewski,YK Stal Gdynia Code Zero Racing,DNS*,16,DNS*,DNS,DNS,18,DNS,DNS,DNS,DNS,DNS,209,21
POL 8129,Adam Domalski,Konrad Plewa,JK Kamien Pomorski,DNS*,DNS*,DNS,DNS,19,DNS,DNS,DNS,DNS,DNS,DNS,219,22
POL 8551,Jacek Rohowski,Monika Komadowska,Navigare Poznan,DNF*,DNS*,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,225,23
POL 8359,Tomasz Polikowski,Adam Najmowicz,,DNS*,RET*,RET,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,225,23
