SailNo,HelmName,CrewName Special,Total,R1,R2,R3,R4,R5,R6,R7,R8,R9,Nett,Special Price,Rank
GER 9152,Meike Schomaeker,Holger Jess,131,1,6,1,1,4,2,5,9*,102 DNS*,20,Mixed,1
GER 9071,Wolfgang Hunger,Julien Kleiner,50,4,11*,4,3,6,1,3,17*,1,22,,2
DEN 9118,Jan Saugmann,Jakob Karbo,85,5,7,6,2,5,8,20*,25*,7,40,,3
DEN 9121,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,119,16,25*,2,16,1,5,42*,10,2,52,Senior,4
GER 8669,Jan-Philipp Hofman,Felix Brockerhoff,95,2,15,3,5,17*,16,25*,2,10,53,Young,5
AUS 9134,Michael Quirk,Nathan Quirk,119,27*,9,5,10,2,24,1,4,37*,55,,6
SWE 8926,Ebbe Rosén,Olle Wenrup,121,8,28*,14,4,35*,6,8,15,3,58,Senior,7
GER 8929,Kai Bertallot,Jan Reifferscheidt,190,18,2,8,15,19*,13,12,1,102 DSQ*,69,Young,8
AUS 9074,Peter Nicholas,Luke Payne,115,11,18*,27*,17,9,3,14,12,4,70,,9
GER 9149,Leoni Meyer,Kathrin Adlkofer,130,20,4,18,8,25*,22,2,5,26*,79,Female,10
GER 9112,Morten Bogacki,Lars Dehne,116,14*,10,11,23*,12,14,11,13,8,79,,11
FRA 9075,Philippe Boite,Florian Corbel,125,6,14,10,9,3,19,19,23*,22*,80,,12
USA 9153,Howie Hamlin,Jon Bell,139,7,13,25,27*,32*,4,4,22,5,80,,13
GER 9011,Moritz Tobias,Bolduan Bohnenberger,215,3,5,15,13,28,102 DNF*,7,30*,12,83,,14
SUI 9096,Cédric Bart,Laurent Grob,170,13,1,9,21,8,26,45*,31*,16,94,,15
SUI 9147,Caroline Jacot,Philippe Jacot,180,10,3,12,25,37*,44*,6,24,19,99,Mixed,16
GER 9133,Frieder Achterberg,Wolfgang Stüeckl,158,9,22,23,34*,23,7,9,7,24*,100,,17
GBR 9117,Thomas Gillard,Andy Couch,179,33*,32,17,20,43*,15,10,3,6,103,,18
GER 9110,Timon Böger,Finn Böger,250,36*,19,102 DSQ*,7,21,9,17,28,11,112,,19
FRA 9050,Hervé de Kergariou,Basile Géron,202,12,29*,20,12,18,18,26,49*,18,124,Senior,20
DEN 9128,Nikolaj Hoffman,Henrik Buhl,206,34*,23,25,44*,22,10,29,6,13,128,,21
GER 9146,Jens Findel,Johannes Tellen,234,15,12,52*,32,24,21,47*,16,15,135,,22
GBR 9124,Terry Scutcher,Christian Diebitsch,226,24,8,13,40*,15,12,34,32,48*,138,,23
SUI 8614,Florian Stauffer,Valery Jacot,232,19,37,16,14,27,11,18,51*,39*,142,,24
GER 9122,Benedikt Northoff,Andreas Achterberg,237,28,38*,36,6,13,17,35,43*,21,156,,25
GER 8519,Thure Gnadeberg,Aron Tellen,260,54*,39,7,18,33,34,50*,8,17,156,Young,26
FIN 8768,Jukka Nieminen,Antti Salonen,262,53*,24,32,29,11,30,16,53*,14,156,,27
GBR 9136,Ian Pinnell,Alex Davies,236,32*,31,29,24,30,28,33*,20,9,171,Senior,28
GBR 8514,Ben Iliffe,Richard Nurse,287,25,20,22,50*,16,45,15,65*,29,172,,29
