Position,Boat No.,Helm,Weight,Crew,Weight,Hull,Centreboard,Rudder,Mast,Main,Jib,Spinnaker
1st,8624,Ian Pinnell,65,Mark Darling,90,Rondar,Milanes,Milanes,Proctor D,Pinnell & Bax,Pinnell & Bax,Pinnell & Bax
2nd,8556,Richard Tew,82,Simon Hiscocks,80,Krywood,Boards & Blades,Boards & Blades,Proctor D,Rush,Rush,Rush
3rd,8481,Philippe Boite,80,Bill Masterman,104,Rondar,Milanes,Rondar,Superspar M2,Sobstad,Sobstad,Sobstad
4th,8378,Martin Hodgson,80,Paul Beasley,90,Krywood,Milanes,Milanes,Proctor D,Pinnell & Bax,Pinnell & Bax,Pinnell & Bax
5th,8377,Hector Cisneros,70,Lawrence Crispin,95,Krywood,Bloodaxe,Bloodaxe,Superspar M2,Sobstad,Sobstad,Sobstad
6th,8521,Paul Towers,70,Dan Johnson,88,Rondar,Boards & Blades,Boards & Blades,Proctor D,Hyde,Hyde,Hyde
