Nation,Sail NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
GBR,8244,Gordon McGeorge,Graeme Russell,Largo Bay S.C.,2,2,,1,1,1,,1
GBR,7653,Neil Rosie,Alan Jeffrey,Helensburgh S.C.,1,2,,3,2,2,,2
GBR,7546,Colin Greer,James Miller,Helensburgh S.C.,3,,,2,,,,3
GBR,8123,Graeme Busby,Graeme Greer,,,1,,,,,,
GBR,7656,Kenny Manderson,John McDonald,,,,,,,,,
GBR,8120,Clive R. Davis,Kenny Robertson,,,,,,3,,,
GBR,,Alistair Barrie,,,,,,,,3,,
