Nation,Boat NO,Helm,Crew,Club,,,Place
GBR,8672,Ian Barker,,,,,1
GBR,8552,Mark Upton-Brown,,,,,2
FRA,8402,Philippe Boite,,,,,3
GBR,8497,Ian Pinnell,,,,,4
GBR,8377,Hector Cisneros,,,,,5
GBR,8640,Vernon Ralston,,,,,6
GBR,8592,Paul Lovesy,,,,,7
GBR,8556,Richard Tew,,,,,8
GBR,8378,Martin Hodgson,,,,,9
GBR,8306,Clive Robinson,,,,,10
GBR,8508,Sam Neal,,,,,11
GBR,8305,John Webster,,,,,12
GBR,8381,Steve Adams,,,,,13
GBR,8429,Rob Napier,,,,,14
GBR,8291,Richard Sims,,,,,15
GBR,8458,Jack Hayhurst,,,,,16
GBR,8244,Tim Rush,,,,,17
FRA,8452,Lieme Soulier,,,,,18
GBR,8490,James Baxter,,,,,19
GBR,8494,Steve Nicholson,,,,,20
GBR,8495,Dave Peacock,,,,,21
GBR,8408,Roger Sherwood,,,,,22
GBR,8464,Lee Martin,,,,,23
GBR,8474,Chris Thorne,,,,,24
GBR,8467,Chris Romans,,,,,25
GBR,8532,Jim Berry,,,,,26
GBR,8568,Christian Diebitsch,,,,,27
GBR,8304,Chris Pearson,,,,,28
GBR,8510,Terry Scutcher,,,,,29
GBR,8555,David Smithwhite,,,,,30
GBR,8234,David Lines,,,,,31
GBR,8214,Dave Bell,,,,,32
GBR,8445,Andy Williams,,,,,33
GBR,8526,Tim Bird,,,,,34
GBR,8380,Martin Stainsby,,,,,35
GBR,8625,Melvyn Newman,,,,,36
GBR,8535,Richard Aylard,,,,,37
GBR,8591,Anne Cave-Penny,,,,,38
GBR,8242,Howard Breckell,,,,,39
