Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Points,place
GBR,8624,Ian Pinnell,Mark Darling,,1,22,3,1,47,5,3,4,6,23,1
GBR,8556,Richard Tew,Simon Hiscook,,10,2,2,2,3,2,6,8,9,25,2
GBR,8481,Philippe Boite,Bill Masterman,,8,6,5,6,7,3,12,2,2,31,3
GBR,8378,Martin Hodgson,Paul Beasley,,3,14,11,4,4,11,2,12,7,42,4
GBR,8377,Hector Cisneros,Lawrence Crispin,,20,9,12,9,47,7,1,5,3,46,5
GBR,8521,Paul Towers,Dan Johnson,,26,3,8,8,47,4,19,1,4,47,6
GBR,8432,Debbie Jarvis,Nick Powell,,5,12,9,7,1,15,14,9,5,48,7
GBR,8672,Ian Barker,Paul Young,,25,11,7,10,47,1,17,3,1,50,8
DEN,8476,Jan Saugmann,Morten Ramsbæk,,22,20,10,5,2,8,4,7,18,54,9
GBR,8555,David Smithwhite,Rob Sutherland,,21,13,48,30,9,6,5,6,8,68,10
GBR,8381,Steve Adams,Andrew Wood,,11,10,13,3,10,18,15,13,10,70,11
GBR,8650,Ian Montague,Alistair MacLeod,,13,15,4,21,5,10,13,10,47,70,11
GBR,8288,Gordon McGeorge,Graeme Russell,,4,,1,19,8,46,21,23,16,76,13
GBR,8568,Christian Diebitsch,Dave Bradl,,16,6,18,15,6,14,11,15,14,83,14
GBR,8495,David Peacock,Peter Greenhalgh,,7,,6,25,47,19,18,48,12,88,15
GBR,8508,Sam Neal,Andrew Palmer,,14,17,15,23,13,12,8,14,13,89,16
GBR,8635,Richard Lord,Simon Lake,,24,19,24,18,12,13,9,17,11,99,17
GBR,8095,Charles Walters,Mike Pike,,19,4,16,17,11,48,29,24,15,106,18
SUI,7953,Adrian Zaugg,Yves Reinacher,,2,23,14,24,15,22,16,20,25,112,19
GBR,8408,Roger Sherwood,Nick Willis,,29,28,21,11,47,16,10,16,19,121,20
GBR,8490,James Baxter,Philip Baxter,,17,25,17,16,47,23,20,19,28,137,21
GBR,8009,Dave Chalkley,Adrian Mullis,,9,21,19,22,47,46,25,26,22,144,22
GBR,8497,Roger Driver,Stephen Burwood,,18,18,27,12,47,46,26,28,17,146,23
GBR,8416,David Wood,Alan Montague,,28,39,25,14,19,21,28,18,23,148,24
GBR,8308,Terry Selfe,Steve Perkins,,30,30,23,26,16,46,23,22,21,161,25
GBR,8445,Tim Scarisbrick,Ian Swainston,,27,5,22,20,47,46,22,34,34,164,28
GBR,8540,Andy Williams,J Lydon,,12,34,35,34,47,17,27,21,46,180,27
GBR,8532,Jim Berry,Richard Berry,,33,32,29,29,14,46,31,27,24,186,28
GBR,8467,Chris Romans,Brenda Romans,,34,33,28,31,20,46,30,25,20,187,29
GBR,8625,Melvyn Newman,Alex Cull,,35,,20,36,47,46,33,31,26,197,30
GBR,8234,David Lines,David Hearne,,36,24,34,33,18,46,37,30,27,202,31
FRA,8444,Christian Lippi,Sylvreiu Hure,,40,36,30,32,24,24,34,29,31,204,32
GBR,8309,David Spragg,Dave Hughes,,39,,33,28,23,20,24,46,46,205,33
GBR,8165,Stuart Doe,Philip Newsome,,32,29,26,37,22,46,35,32,30,206,34
GBR,7763,John Davies,Nigel Statham,,37,35,32,35,17,46,32,47,29,217,35
GBR,7222,Graham Rice,Edward Fryer,,38,27,31,27,25,46,38,33,46,219,36
GBR,8640,Vernon Ralston,Simon Spratt,,23,26,48,48,48,9,48,48,48,250,37
GBR,8600,Terry Scutcher,Neil Fulcher,,48,48,48,48,48,46,7,11,46,254,38
GBR,8564,Ian Gould,George Simpkins,,46,48,48,13,21,48,36,46,46,256,39
GBR,7141,Tom Clayton,Dennis Hyatt,,41,,36,47,28,46,39,35,46,263,40
GBR,8429,Robert Napier,Kimball Morrison,,6,31,48,48,48,48,48,48,48,277,41
GBR,6701,Howard Breckell,Nik Moore,,42,46,37,88,48,40,36,46,,285,42
GBR,8592,Paul Lovesy,Andy Williams,,15,46,48,48,48,48,48,48,48,301,43
GBR,8443,Alan Jurd,Rupert Maynard,,31,37,48,48,48,48,48,48,48,308,44
